,annual_stock_code,div_year,annual_revenue('000),annual_net_income('000),annual_eps,annual_dp(%)
1313,1589,2021,24346,-27929,-0.032,0.0
1314,1589,2022,28697,-12749,-0.015,0.0
1315,1619,2018,12789677,498441,0.258,0.12
1316,1619,2019,23013355,481835,0.25,0.0
1317,1619,2020,13155536,554132,0.287,0.0
1318,1619,2021,12378135,-296422,-0.153,0.0
1319,1619,2022,11164383,287774,0.149,0.0
1320,1643,2018,109053,-37397,-0.071,0.0
1321,1643,2019,114910,-100233,-0.19,0.0
1322,1643,2020,37965,67414,0.114,0.0
1323,1643,2021,5580,-32493,-0.049,0.0
1324,1643,2022,13930,-21863,-0.033,0.0
1325,1651,2018,1870705,101167,0.023,0.76
1326,1651,2019,1319393,23739,0.005,1.85
1327,1651,2020,1199484,-176143,-0.04,-0.25
1328,1651,2021,1448451,15833,0.003,2.86
1329,1651,2022,2371122,51831,0.012,0.0
1330,1694,2018,80041,13642,0.033,0.0
1331,1694,2019,42114,6780,0.005,0.0
1332,1694,2020,12099,2770,0.006,0.0
1333,1694,2021,67895,6925,0.014,0.0
1334,1694,2022,87803,12105,0.025,0.0
1335,1694,2023,21606,3414,0.007,0.0
1336,1724,2018,907914,94926,0.222,0.38
1337,1724,2019,905591,104049,0.194,0.33
1338,1724,2020,593562,486661,0.798,0.03
1339,1724,2021,681351,28537,0.046,0.65
1340,1724,2022,602224,41310,0.066,0.38
1341,1818,2018,550004,224042,0.277,1.21
1342,1818,2019,502489,185855,0.229,0.91
1343,1818,2020,798973,377747,0.468,1.09
1344,1818,2021,767537,355254,0.439,0.93
1345,1818,2022,603245,226571,0.28,0.95
1346,1899,2018,18966357,465476,1.158,0.13
1347,1899,2019,16045591,363482,0.913,0.16
1348,1899,2020,16078124,417275,1.057,0.14
1349,1899,2021,20717928,1146934,2.893,0.07
1350,1899,2022,28223929,1174346,2.979,0.07
1351,1902,2018,24189,-26120,-0.174,0.0
1352,1902,2019,16483,-29043,-0.194,0.0
1353,1902,2020,1771,96123,0.642,0.0
1354,1902,2021,1105,-9883,-0.066,0.0
1355,1902,2022,1368,-7885,-0.053,0.0
1356,1902,2023,192,-3991,-0.027,-1.13
1357,1929,2018,149924,72150,0.79,0.38
1358,1929,2019,122120,32487,0.356,0.56
1359,1929,2020,129813,35987,0.394,0.41
1360,1929,2021,182718,68076,0.745,0.4
1361,1929,2022,260293,107516,1.177,0.36
1362,1929,2023,62956,25295,0.277,0.36
1363,1961,2018,8719300,3060500,0.487,0.18
1364,1961,2019,7385600,631700,0.1,0.8
1365,1961,2020,7802200,600900,0.096,0.84
1366,1961,2021,11251700,1394300,0.222,0.47
1367,1961,2022,15578700,1725300,0.277,0.5
1368,1961,2023,3668700,167500,0.027,0.0
1369,1996,2018,510473,-29311,-0.012,0.0
1370,1996,2019,395596,-659,0.0,0.0
1371,1996,2020,476997,46338,0.02,0.5
1372,1996,2021,785583,147861,0.064,0.31
1373,1996,2022,674417,81912,0.035,0.0
1374,2038,2018,62186,16856,0.24,0.33
1375,2038,2019,50636,-2566,-0.036,-1.37
1376,2038,2020,62383,1259,0.018,3.33
1377,2038,2021,93169,24021,0.342,0.41
1378,2038,2022,90526,27293,0.389,0.44
1379,2054,2018,404950,-76394,-0.046,0.0
1380,2054,2019,431725,-79552,-0.027,0.0
1381,2054,2020,442877,-14181,-0.009,-0.34
1382,2054,2021,511034,-30850,-0.018,-0.16
1383,2054,2022,456313,-3886,-0.002,0.0
1384,2062,2018,646061,35920,0.09,0.0
1385,2062,2019,623785,23062,0.058,0.0
1386,2062,2020,620853,26627,0.067,0.15
1387,2062,2021,626192,61480,0.154,0.06
1388,2062,2022,871198,148035,0.371,0.13
1389,2062,2023,264099,39155,0.098,0.0
1390,2089,2018,976332,282599,1.36,0.0
1391,2089,2019,871457,203063,0.977,0.0
1392,2089,2020,947262,300101,1.068,0.0
1393,2089,2021,1407023,364756,0.879,0.0
1394,2089,2022,1993787,441047,1.063,0.0
1395,2097,2018,21305,-8830,-0.029,0.0
1396,2097,2019,18110,-12959,-0.051,0.0
1397,2097,2020,4252,-7515,-0.023,0.0
1398,2097,2021,16694,-91659,-0.278,0.0
1399,2097,2022,25749,4482,-0.002,0.0
1400,2097,2023,8669,1061,0.001,0.0
1401,2127,2018,421176,35897,0.064,0.0
1402,2127,2019,473894,27895,0.05,0.0
1403,2127,2020,510738,33182,0.058,0.0
1404,2127,2021,1291631,343584,0.59,0.03
1405,2127,2022,1548447,343186,0.591,0.11
1406,2135,2018,7455,541,-0.006,0.0
1407,2135,2019,6891,2949,0.011,0.0
1408,2135,2020,9219,-6734,-0.025,0.0
1409,2135,2021,14392,-2436,-0.009,0.0
1410,2135,2022,10516,-5222,-0.013,-1.15
1411,2143,2018,19596,5136,0.015,0.11
1412,2143,2019,17994,30334,0.063,0.0
1413,2143,2020,12286,-21624,-0.045,0.0
1414,2143,2021,13314,-5735,-0.012,0.0
1415,2143,2022,15721,-5408,-0.011,0.0
1416,2186,2018,7784,51828,0.419,0.0
1417,2186,2019,6880,2241,0.018,0.0
1418,2186,2020,7222,2692,0.022,0.64
1419,2186,2021,6920,20262,0.164,0.07
1420,2186,2022,7585,-99385,-0.803,0.0
1421,2186,2023,1529,-13454,-0.109,0.0
1422,2224,2018,217334,83358,0.196,0.13
1423,2224,2019,256126,24416,0.057,0.35
1424,2224,2020,243844,-4460,-0.01,0.0
1425,2224,2021,144196,-12883,-0.03,0.0
1426,2224,2022,103297,7159,0.017,0.0
1427,2224,2023,50117,1161,0.003,0.0
1428,2259,2018,56820,-23608,-0.006,0.0
1429,2259,2019,69944,-24073,-0.006,0.0
1430,2259,2020,44773,2584,0.001,0.0
1431,2259,2021,37819,-30034,-0.007,0.0
1432,2259,2022,66528,-4745,-0.001,0.0
1433,2259,2023,30139,-8640,-0.002,0.0
1434,2283,2018,85056,-10446,-0.012,0.0
1435,2283,2019,80765,2661,0.003,0.0
1436,2283,2020,51929,35318,0.042,0.0
1437,2283,2021,46449,3856,0.005,0.0
1438,2283,2022,27753,13886,0.016,0.0
1439,2291,2018,1902899,164898,0.205,0.63
1440,2291,2019,2266402,142074,0.166,0.78
1441,2291,2020,2498168,254356,0.284,0.74
1442,2291,2021,3130171,432219,0.482,0.62
1443,2291,2022,2398595,415563,0.463,0.32
1444,2305,2018,80852,20151,0.269,0.19
1445,2305,2019,67418,13315,0.178,0.25
1446,2305,2020,49123,7817,0.104,0.39
1447,2305,2021,75947,17571,0.235,0.0
1448,2305,2022,66580,21331,0.285,0.0
1449,2429,2018,50056,-167,0.0,0.0
1450,2429,2019,6166,-13623,-0.02,0.0
1451,2429,2020,3354,-17140,-0.022,0.0
1452,2429,2021,4423,-12988,-0.01,0.0
1453,2429,2022,14325,-12804,-0.008,0.0
1454,2429,2023,21314,-1268,-0.001,0.0
1455,2445,2018,18400500,753328,0.707,0.21
1456,2445,2019,15533887,617505,0.58,0.26
1457,2445,2020,15595956,772604,0.719,0.21
1458,2445,2021,19915796,2257584,2.093,0.1
1459,2445,2022,27149474,2166290,2.01,0.1
1460,2453,2018,29105,6483,0.102,0.0
1461,2453,2019,22613,-12303,-0.195,0.0
1462,2453,2020,25911,-2168,-0.034,-1.75
1463,2453,2021,31674,31034,0.495,0.02
1464,2453,2022,54130,-9453,-0.151,0.0
1465,2453,2023,13358,-5727,-0.092,0.0
1466,2488,2018,1572023,493228,0.321,0.21
1467,2488,2019,1622101,537597,0.347,0.48
1468,2488,2020,1694946,424263,0.275,0.22
1469,2488,2021,1817567,358785,0.231,0.25
1470,2488,2022,1867656,572817,0.37,0.5
1471,2488,2023,954647,370580,0.239,0.5
1472,2542,2018,28661,4953,0.076,0.0
1473,2542,2019,25698,2113,0.033,0.01
1474,2542,2020,36478,10842,0.167,0.07
1475,2542,2021,55960,22672,0.35,0.12
1476,2542,2022,44513,14680,0.226,0.88
1477,2569,2018,14193,6339,0.096,0.0
1478,2569,2019,12241,-6662,-0.102,0.0
1479,2569,2020,14086,-8460,-0.128,-0.16
1480,2569,2021,18851,44064,0.664,0.03
1481,2569,2022,35775,-19948,-0.301,0.0
1482,2569,2023,9173,-8384,-0.126,0.0
1483,2593,2018,277728,47826,0.228,0.53
1484,2593,2019,203741,-41762,-0.199,-0.4
1485,2593,2020,293982,15772,0.075,1.06
1486,2593,2021,398069,13186,0.063,1.59
1487,2593,2022,553962,105898,0.505,0.3
1488,2593,2023,307568,40012,0.191,0.26
1489,2607,2018,19375,-13839,-0.035,0.0
1490,2607,2019,14144,-7243,-0.028,0.0
1491,2607,2020,10061,-15878,-0.035,0.0
1492,2607,2021,32715,-12391,-0.033,0.0
1493,2607,2022,20838,-5574,-0.015,0.0
1494,2658,2018,436286,56261,0.925,0.5
1495,2658,2019,447731,56581,0.931,0.5
1496,2658,2020,461689,59853,0.984,0.0
1497,2658,2021,443119,46387,0.763,0.65
1498,2658,2022,484678,16996,0.279,1.37
1499,2658,2023,299659,2088,0.034,2.47
1500,2674,2018,385703,3437,0.026,0.0
1501,2674,2019,372653,-176,0.002,0.0
1502,2674,2020,316402,1316,0.01,0.0
1503,2674,2021,599011,32461,0.242,0.1
1504,2674,2022,763781,59584,0.444,0.0
1505,2682,2018,4272,-4171,-0.03,0.0
1506,2682,2019,5014,-2750,-0.02,0.0
1507,2682,2020,6512,-3990,-0.029,0.0
1508,2682,2021,9906,-4314,-0.022,0.0
1509,2682,2022,13537,-1140,-0.004,0.0
1510,2739,2018,996387,29593,0.026,0.0
1511,2739,2019,788135,-184297,-0.164,0.0
1512,2739,2020,288265,-189344,-0.144,0.0
1513,2739,2021,50177,-154744,-0.083,0.0
1514,2739,2022,58934,312585,0.141,0.0
1515,2755,2018,31868,-1013,-0.004,0.0
1516,2755,2019,29015,3516,0.014,7.04
1517,2755,2020,21149,19246,0.077,0.0
1518,2755,2021,26091,16431,0.066,0.0
1519,2755,2022,28862,24098,0.096,0.0
1520,2755,2023,7801,4666,0.019,0.0
1521,2771,2018,10186400,-469200,-0.231,-0.22
1522,2771,2019,10333900,-1278800,-0.631,0.0
1523,2771,2020,7861000,-550900,-0.272,0.0
1524,2771,2021,11305500,170100,0.084,0.0
1525,2771,2022,11416600,464300,0.229,0.0
1526,2828,2018,2602702,31159,0.192,0.52
1527,2828,2019,2272914,19032,0.118,0.68
1528,2828,2020,2572493,30122,0.186,0.54
1529,2828,2021,3144550,69967,0.432,0.28
1530,2828,2022,4046838,67222,0.415,0.58
1531,2828,2023,1529710,20823,0.128,0.0
1532,2836,2018,1982344,277161,0.906,1.1
1533,2836,2019,2256582,291041,0.952,1.05
1534,2836,2020,1785000,162180,0.53,0.75
1535,2836,2021,1772821,200988,0.657,0.85
1536,2836,2022,1799711,256925,0.84,0.75
1537,2852,2018,1711862,265741,0.248,0.3
1538,2852,2019,1740998,160286,0.149,0.2
1539,2852,2020,1124423,194709,0.182,0.11
1540,2852,2021,813798,203411,0.19,0.11
1541,2852,2022,702168,265950,0.248,0.0
1542,2984,2018,37900,-2788,-0.033,-1.2
1543,2984,2019,38870,1095,0.013,0.0
1544,2984,2020,34276,2210,0.026,0.38
1545,2984,2021,45300,1417,0.017,0.0
1546,2984,2022,47751,7298,0.087,0.0
1547,2984,2023,11292,676,0.008,3.21
1548,3018,2018,130780,10145,0.011,0.0
1549,3018,2019,125018,-22754,-0.023,0.0
1550,3018,2020,74300,-28442,-0.027,0.0
1551,3018,2021,59628,-11493,-0.012,0.0
1552,3018,2022,63664,-9419,-0.009,0.0
1553,3026,2018,1048568,129448,2.023,0.0
1554,3026,2019,1066662,102958,1.61,0.0
1555,3026,2020,1100659,73363,1.146,0.0
1556,3026,2021,1133733,248000,3.875,0.0
1557,3026,2022,977723,66504,1.038,0.0
1558,3034,2018,6246519,1145608,0.46,0.76
1559,3034,2019,7096067,1162871,0.467,0.75
1560,3034,2020,5850326,750179,0.301,0.83
1561,3034,2021,6012754,900433,0.362,0.97
1562,3034,2022,5319450,852632,0.342,0.88
1563,3042,2018,12047769,224540,0.831,0.24
1564,3042,2019,11456829,177126,0.655,0.18
1565,3042,2020,6461691,-13315,-0.049,0.0
1566,3042,2021,9182513,238471,0.883,0.23
1567,3042,2022,14081393,321954,1.193,0.0
1568,3069,2018,874119,129266,0.33,0.12
1569,3069,2019,701933,153668,0.384,0.16
1570,3069,2020,767126,321290,0.72,0.17
1571,3069,2021,914673,462330,0.566,0.12
1572,3069,2022,975778,301634,0.319,0.11
1573,3107,2018,284646,36110,0.15,0.5
1574,3107,2019,244720,57446,0.239,0.32
1575,3107,2020,243127,11821,0.049,1.53
1576,3107,2021,212649,27133,0.114,0.66
1577,3107,2022,291820,60561,0.255,0.59
1578,3107,2023,141586,16306,0.069,0.01
1579,3158,2018,362723,15608,0.03,0.01
1580,3158,2019,341499,42172,0.08,0.0
1581,3158,2020,269216,7133,0.014,0.0
1582,3158,2021,262664,20755,0.007,0.0
1583,3158,2022,165632,-1663,-0.026,0.0
1584,3174,2018,80270,75408,0.029,0.51
1585,3174,2019,134262,38781,0.013,0.01
1586,3174,2020,139724,15340,0.005,0.0
1587,3174,2021,134892,30457,0.01,0.5
1588,3174,2022,192924,19672,0.007,0.75
1589,3174,2023,95287,8899,0.003,0.0
1590,3182,2018,20852973,1365581,0.356,0.6
1591,3182,2019,21616543,1995823,0.518,0.42
1592,3182,2020,11564060,-1024141,-0.266,-0.56
1593,3182,2021,13529534,-1369646,-0.356,-0.31
1594,3182,2022,16021862,-131191,-0.034,-2.05
1595,3204,2018,616990,124433,0.237,0.4
1596,3204,2019,430748,84918,0.152,0.46
1597,3204,2020,335812,41588,0.078,0.32
1598,3204,2021,310829,48748,0.093,0.74
1599,3204,2022,355224,31257,0.06,0.42
1600,3204,2023,148097,15477,0.03,0.34
1601,3239,2018,312690,-32616,-0.015,0.0
1602,3239,2019,330734,-82581,-0.033,0.0
1603,3239,2020,246702,-126262,-0.049,0.0
1604,3239,2021,178400,-107632,-0.042,0.0
1605,3239,2022,174036,-54943,-0.022,0.0
1606,3239,2023,53672,-4224,-0.002,0.0
1607,3247,2018,349315,-2681,-0.01,0.0
1608,3247,2019,335990,5018,0.018,0.0
1609,3247,2020,239872,-44968,-0.162,0.0
1610,3247,2021,278796,14573,0.052,0.0
1611,3247,2022,211857,-1277,-0.005,0.0
1612,3255,2018,2029672,282521,0.935,1.01
1613,3255,2019,2320249,312969,1.036,1.04
1614,3255,2020,1762396,154197,0.51,1.0
1615,3255,2021,1979348,245678,0.813,1.0
1616,3255,2022,2063379,308190,1.02,0.39
1617,3298,2018,100144,-19962,-0.099,0.0
1618,3298,2019,106254,7794,0.04,1.25
1619,3298,2020,90507,15452,0.077,0.0
1620,3298,2021,75428,10163,0.051,0.0
1621,3298,2022,77169,5930,0.03,1.33
1622,3298,2023,17879,677,0.003,0.0
1623,3301,2018,2502966,334593,1.077,0.44
1624,3301,2019,2750382,327085,1.042,0.48
1625,3301,2020,2457129,169408,0.54,0.78
1626,3301,2021,2633096,291882,0.929,0.38
1627,3301,2022,2466417,210944,0.671,0.78
1628,3301,2023,884449,81881,0.26,0.77
1629,3336,2018,6026948,349809,0.096,0.62
1630,3336,2019,5655661,418916,0.115,0.35
1631,3336,2020,6605101,250590,0.069,0.43
1632,3336,2021,5622870,431678,0.119,0.5
1633,3336,2022,4680695,794890,0.22,0.95
1634,3336,2023,2144634,60436,0.017,1.16
1635,3379,2018,341246,90517,0.136,0.07
1636,3379,2019,212177,81855,0.124,0.16
1637,3379,2020,197459,14849,0.022,0.89
1638,3379,2021,216874,245706,0.371,0.05
1639,3379,2022,216392,215055,0.324,0.08
1640,3379,2023,62215,16615,0.025,1.0
1641,3395,2018,8667666,-377073,-0.065,0.0
1642,3395,2019,9782153,-112183,-0.019000000000000003,0.0
1643,3395,2020,6988362,-121932,-0.022,-0.5
1644,3395,2021,7460097,-438798,-0.076,0.0
1645,3395,2022,8210201,54443,0.01,0.0
1646,3395,2023,2243190,-16415,-0.003,0.0
1647,3417,2018,981265,100790,0.077,0.0
1648,3417,2019,886320,62366,0.047,0.64
1649,3417,2020,486802,-195942,-0.137,-0.07
1650,3417,2021,304725,-73236,-0.051,0.0
1651,3417,2022,140496,64068,0.044,0.0
1652,3417,2023,171570,-1633,-0.001,0.0
1653,3441,2018,146570,-22345,-0.036,0.0
1654,3441,2019,105882,-95037,-0.153,0.0
1655,3441,2020,97023,-17768,-0.029,0.0
1656,3441,2021,125734,168003,0.204,0.0
1657,3441,2022,22521,-11133,-0.01,0.0
1658,3441,2023,3640,-4765,-0.004,0.0
1659,3476,2018,967277,40361,0.112,0.36
1660,3476,2019,978606,88440,0.246,0.16
1661,3476,2020,874342,-64918,-0.181,0.0
1662,3476,2021,1318292,79020,0.22,0.0
1663,3476,2022,1453208,159283,0.443,0.11
1664,3484,2018,304125,20619,0.065,0.0
1665,3484,2019,294319,23981,0.075,0.0
1666,3484,2020,189551,-12243,-0.039,0.0
1667,3484,2021,107734,-28115,-0.089,0.0
1668,3484,2022,223157,-44208,-0.135,0.0
1669,3514,2018,150332,14111,0.013,0.22
1670,3514,2019,149570,15507,0.015,0.2
1671,3514,2020,149179,14350,0.014,0.0
1672,3514,2021,156689,17636,0.017,0.0
1673,3514,2022,134760,14841,0.014,1.42
1674,3557,2018,181232,44596,0.056,0.0
1675,3557,2019,221088,23759,0.03,0.0
1676,3557,2020,149793,16289,0.02,0.0
1677,3557,2021,42568,13823,0.017,0.0
1678,3557,2022,24035,-9946,-0.009,0.0
1679,3557,2023,9295,-8478,-0.007,0.0
1680,3565,2018,880590,13681,0.014,0.0
1681,3565,2019,759644,20676,0.02,0.0
1682,3565,2020,816396,-33271,-0.032,0.0
1683,3565,2021,344653,-92309,-0.07,0.0
1684,3565,2022,606911,-115484,-0.052,0.0
1685,3565,2023,225870,-55417,-0.019,0.0
1686,3573,2018,33688,-35538,-0.104,0.0
1687,3573,2019,22862,-2782,-0.008,0.0
1688,3573,2020,11355,-29986,-0.09,0.0
1689,3573,2021,9278,-85192,-0.256,0.0
1690,3573,2022,14676,-28097,-0.084,0.0
1691,3611,2018,15265,-903,-0.005,0.0
1692,3611,2019,52926,-3006,-0.016,0.0
1693,3611,2020,88261,1765,0.009,0.0
1694,3611,2021,22405,-1847,-0.01,0.0
1695,3611,2022,54831,1174,-0.001,0.0
1696,3611,2023,28465,2197,0.003,0.0
1697,3662,2018,2423774,17776,0.032,0.93
1698,3662,2019,2681563,43251,0.047,0.63
1699,3662,2020,2680670,5413,0.005,1.89
1700,3662,2021,2600154,173909,0.171,0.12
1701,3662,2022,2096006,98171,0.096,0.16
1702,3689,2018,4109859,385133,1.052,0.55
1703,3689,2019,4077138,410260,1.119,0.54
1704,3689,2020,3988507,410384,1.12,0.54
1705,3689,2021,4130872,395164,1.077,0.56
1706,3689,2022,4470163,383208,1.046,0.57
1707,3719,2018,1199120,131016,2.16,1.15
1708,3719,2019,1127886,105752,1.74,1.3
1709,3719,2020,1051980,116989,1.93,1.03
1710,3719,2021,974558,116454,1.92,0.85
1711,3719,2022,868776,51511,0.84,0.99
1712,3719,2023,536524,54056,0.89,0.17
1713,3743,2018,491479,101597,0.127,0.0
1714,3743,2019,534257,126824,0.156,0.0
1715,3743,2020,197083,30167,0.034,0.0
1716,3743,2021,238598,21808,0.024,0.82
1717,3743,2022,402496,17635,0.02,0.0
1718,3778,2018,816093,-626,-0.003,0.0
1719,3778,2019,694007,30685,0.083,0.0
1720,3778,2020,596503,-1444,-0.004,0.0
1721,3778,2021,738603,42348,0.118,0.19
1722,3778,2022,752246,35721,0.099,0.0
1723,3778,2023,121551,639,0.002,0.0
1724,3794,2018,2122297,-319351,-0.377,0.0
1725,3794,2019,1010192,-95350,-0.113,0.0
1726,3794,2020,1396714,-167542,-0.198,0.0
1727,3794,2021,1369508,7310,0.008,0.0
1728,3794,2022,2705272,83545,0.058,0.0
1729,3794,2023,858854,953,0.001,0.0
1730,3816,2018,8780300,1311500,0.294,1.02
1731,3816,2019,8962700,1426300,0.32,1.03
1732,3816,2020,9401200,-43000,-0.009,-36.67
1733,3816,2021,10671700,1831300,0.41,0.8
1734,3816,2022,9694000,1177900,0.264,0.8
1735,3859,2018,2704254,104749,0.074,2.04
1736,3859,2019,2705685,238725,0.168,0.95
1737,3859,2020,1673153,21334,0.015,5.66
1738,3859,2021,1259556,184,0.0,150.0
1739,3859,2022,1492206,63127,0.044,0.8
1740,3867,2018,1542320,142464,0.75,0.39
1741,3867,2019,1487942,128328,0.675,0.4
1742,3867,2020,1564600,152989,0.804,0.34
1743,3867,2021,1988489,271819,1.373,0.22
1744,3867,2022,2416123,328853,1.656,0.21
1745,3867,2023,564015,52699,0.265,0.38
1746,3883,2018,1544260,77534,0.254,0.0
1747,3883,2019,1518595,39337,0.129,0.0
1748,3883,2020,1425797,90020,0.295,0.0
1749,3883,2021,1740745,77865,0.255,0.0
1750,3883,2022,1321585,5667,0.019,0.0
1751,3891,2018,406620,-60548,-0.021,0.0
1752,3891,2019,391058,-104829,-0.036,0.0
1753,3891,2020,297538,-194928,-0.066,0.0
1754,3891,2021,182526,-98658,-0.034,0.0
1755,3891,2022,339267,-45832,-0.015,0.0
1756,3891,2023,135027,-9325,-0.003,0.0
1757,3905,2018,784904,235699,0.738,0.0
1758,3905,2019,850011,-211875,-0.663,0.0
1759,3905,2020,617374,-58366,-0.183,0.0
1760,3905,2021,787217,449392,1.422,0.0
1761,3905,2022,658778,84922,0.273,0.0
1762,3913,2018,41303,2927,0.004,0.0
1763,3913,2019,57474,16592,0.022,0.0
1764,3913,2020,76685,12725,0.017,0.0
1765,3913,2021,76500,7671,0.01,0.43
1766,3913,2022,87616,14807,0.02,0.0
1767,3913,2023,24018,764,0.001,5.0
1768,3948,2018,16352,386443,0.457,0.0
1769,3948,2019,26512,11469,0.014,0.04
1770,3948,2020,58159,-27851,-0.033,0.0
1771,3948,2021,174672,13138,0.016,0.01
1772,3948,2022,138958,-44704,-0.054,0.0
1773,3948,2023,68991,-7436,-0.009,0.0
1774,4006,2018,6389783,500893,0.807,0.5
1775,4006,2019,5161211,350933,0.566,0.71
1776,4006,2020,3364478,114808,0.185,1.3
1777,4006,2021,3267903,321574,0.518,0.85
1778,4006,2022,2839396,506999,0.817,0.37
1779,4022,2018,171987,5570,0.006,0.0
1780,4022,2019,279380,25016,0.032,0.0
1781,4022,2020,389940,-82755,-0.058,0.0
1782,4022,2021,363607,28140,0.022,0.89
1783,4022,2022,148110,4185,0.003,5.88
1784,4057,2018,193560,44395,0.044,0.0
1785,4057,2019,144411,52686,0.051,0.0
1786,4057,2020,178174,49327,0.048,0.0
1787,4057,2021,96880,-33567,-0.032,0.0
1788,4057,2022,138667,-3994,-0.924,0.0
1789,4057,2023,73183,4517,0.004,0.0
1790,4065,2018,4528260,1075098,0.782,0.36
1791,4065,2019,4683776,1152551,0.81,0.38
1792,4065,2020,4190690,1316962,0.926,0.5
1793,4065,2021,4857430,1496111,1.052,0.24
1794,4065,2022,4608332,1781318,1.252,0.1
1795,4081,2018,73751,-3148,-0.004,0.0
1796,4081,2019,71829,-5515,-0.008,0.0
1797,4081,2020,55271,-7903,-0.011,-0.45
1798,4081,2021,36587,-42311,-0.06,-0.08
1799,4081,2022,106233,2634,0.004,0.0
1800,4081,2023,66693,3974,0.005,0.58
1801,4162,2018,2822946,471780,1.642,0.94
1802,4162,2019,2508554,344496,1.21,0.98
1803,4162,2020,2315481,241839,0.847,0.98
1804,4162,2021,2637255,284861,0.998,0.98
1805,4162,2022,1825917,200791,0.704,0.95
1806,4197,2018,33828000,1919000,0.282,0.28
1807,4197,2019,36156000,948000,0.14,0.71
1808,4197,2020,36934000,820000,0.12,0.83
1809,4197,2021,44483000,1425000,0.209,0.72
1810,4197,2022,42632000,1103000,0.163,0.71
1811,4197,2023,12182000,207000,0.031,0.0
1812,4219,2018,6365275,-189525,-0.038,0.0
1813,4219,2019,7320769,148028,0.03,0.0
1814,4219,2020,5172525,-62311,-0.013,0.0
1815,4219,2021,5404480,-250637,-0.051,0.0
1816,4219,2022,6054296,-239108,-0.049,0.0
1817,4219,2023,1707994,8452,0.002,0.0
1818,4235,2018,3294795,172629,0.254,0.0
1819,4235,2019,3163774,-164390,-0.242,0.0
1820,4235,2020,2318470,-403228,-0.592,0.0
1821,4235,2021,3956689,490296,0.72,0.0
1822,4235,2022,1897255,-224787,-0.33,0.0
1823,4243,2018,822156,81096,0.17,0.09
1824,4243,2019,590735,-111047,-0.233,-0.04
1825,4243,2020,354124,-163597,-0.344,-0.03
1826,4243,2021,395450,-10417,-0.022,-0.68
1827,4243,2022,362305,21955,0.047,0.0
1828,4251,2018,375144,58793,0.055,0.0
1829,4251,2019,172677,25776,0.024,0.0
1830,4251,2020,84616,3312,0.003,0.0
1831,4251,2021,80214,369,0.0,0.0
1832,4251,2022,77365,18532,0.016,0.0
1833,4286,2018,131872,15013,0.063,0.0
1834,4286,2019,100229,19803,0.265,0.0
1835,4286,2020,38576,16072,0.068,0.0
1836,4286,2021,18805,-9774,-0.041,0.0
1837,4286,2022,9537,4321,0.016,0.0
1838,4286,2023,7958,565,0.002,0.0
1839,4316,2018,32537,-6295,-0.05,0.0
1840,4316,2019,30482,3055,0.023,0.0
1841,4316,2020,37155,4211,0.032,0.0
1842,4316,2021,49397,111830,0.553,0.0
1843,4316,2022,42865,12905,0.044,0.0
1844,4324,2018,11241237,30842,0.103,0.0
1845,4324,2019,12637317,34984,0.115,0.0
1846,4324,2020,7176147,250983,0.837,0.05
1847,4324,2021,12006040,82672,0.276,0.0
1848,4324,2022,16878213,74462,0.248,0.4
1849,4359,2018,19384,3452,-0.012,0.0
1850,4359,2019,20044,-1551,-0.007,0.0
1851,4359,2020,18269,471,0.002,0.0
1852,4359,2021,18919,586,0.003,0.0
1853,4359,2022,24234,1853,0.008,0.0
1854,4359,2023,14356,1583,0.007,0.0
1855,4375,2018,70493,4293,0.02,0.0
1856,4375,2019,67753,-7679,-0.037,0.0
1857,4375,2020,51100,-7197,-0.018,0.0
1858,4375,2021,49814,-1716,-0.008,0.0
1859,4375,2022,35679,-3272,-0.016,0.0
1860,4383,2018,841689,-26798,-0.028,-0.18
1861,4383,2019,637744,-275651,-0.285,0.0
1862,4383,2020,703275,-73530,-0.076,0.0
1863,4383,2021,723405,31399,0.032,0.0
1864,4383,2022,780105,135741,0.14,0.2
1865,4383,2023,207807,33985,0.035,0.0
1866,4405,2018,4858206,101034,0.155,0.26
1867,4405,2019,4172447,43645,0.067,0.6
1868,4405,2020,2959619,-165580,-0.254,-0.06
1869,4405,2021,2537307,-15398,-0.024,-0.64
1870,4405,2022,2313453,-6399,-0.01,-3.06
1871,4456,2018,293452,35345,0.02,0.25
1872,4456,2019,290486,30008,0.017,0.0
1873,4456,2020,176192,-14004,-0.008,0.0
1874,4456,2021,154311,133980,0.058,0.0
1875,4456,2022,1437111,549587,0.179,0.03
1876,4456,2023,419576,41722,0.013,0.0
1877,4464,2018,10179,-22830,-0.013,0.0
1878,4464,2019,14240,-13988,-0.003,0.0
1879,4464,2020,62366,-7162,-0.001,0.0
1880,4464,2021,26539,-19127,-0.001,0.0
1881,4464,2022,12364,-4738,0.0,0.0
1882,4502,2018,1185737,58623,0.053,0.0
1883,4502,2019,1106039,-177850,-0.16,0.0
1884,4502,2020,1041565,-18378,-0.016,0.0
1885,4502,2021,1120188,55231,0.05,0.3
1886,4502,2022,508051,21845,0.02,0.0
1887,4502,2023,237157,7163,0.007,0.0
1888,4588,2018,11306277,341656,0.292,0.26
1889,4588,2019,11739145,481444,0.412,0.15
1890,4588,2020,9554565,204600,0.175,0.23
1891,4588,2021,11060803,268230,0.23,0.25
1892,4588,2022,11439063,309092,0.264,0.0
