,annual_stock_code,div_year,annual_revenue('000),annual_net_income('000),annual_eps,annual_dp(%)
137,0037,2022,152704,-4695,-0.003,0.0
138,0038,2018,47328,-5064,-0.032,0.0
139,0038,2019,118504,-2230,-0.012,0.0
140,0038,2020,169815,-11826,-0.043,0.0
141,0038,2021,267566,4818,0.016,0.0
142,0038,2022,123770,92,0.0,0.0
143,0039,2018,123094,7627,0.018,0.0
144,0039,2019,130589,5947,0.019,0.0
145,0039,2020,116870,8401,0.017,0.0
146,0039,2021,124976,10193,0.019,0.0
147,0039,2022,97043,12892,0.023,0.0
148,0040,2018,95360,10140,0.034,0.37
149,0040,2019,102871,11098,0.037,0.4
150,0040,2020,82410,11079,0.03,0.42
151,0040,2021,61514,11045,0.025,0.4
152,0040,2022,55471,8581,0.019,0.52
153,0041,2018,5988,-20904,-0.079,0.0
154,0041,2019,10508,-13072,-0.003,0.0
155,0041,2020,4430,-7435,-0.022,0.0
156,0041,2021,146969,46364,0.045,0.0
157,0041,2022,198399,97192,0.035,0.0
158,0043,2018,12421,-4472,-0.005,0.0
159,0043,2019,27203,-14796,-0.022,0.0
160,0043,2020,19045,-17469,-0.021,0.0
161,0043,2021,29471,-19627,-0.013,0.0
162,0043,2022,39589,-7676,-0.012,0.0
163,0043,2023,11953,-867,-0.001,0.0
164,0045,2018,0,-521,-0.002,0.0
165,0045,2019,0,-1002,-0.003,0.0
166,0045,2020,0,-2096,-0.007,0.0
167,0045,2021,81,-1992,-0.007,0.0
168,0045,2022,0,1019,0.003,0.0
169,0045,2023,0,-668,-0.002,0.0
170,0048,2018,28980,-792,-0.002,0.0
171,0048,2019,29697,-344,-0.001,0.0
172,0048,2020,30930,-360,-0.001,0.0
173,0048,2021,30477,382,0.001,0.0
174,0048,2022,29949,-1717,-0.004,0.0
175,0048,2023,15443,-640,0.0,0.0
176,0049,2018,85178,6078,0.027,0.0
177,0049,2019,89344,7104,0.029,0.0
178,0049,2020,80169,4314,0.017,0.01
179,0049,2021,74494,5246,0.02,0.0
180,0049,2022,65798,4637,0.018,0.0
181,0050,2018,22302,1322,0.004,0.0
182,0050,2019,28453,768,0.001,1.54
183,0050,2020,28151,-608,-0.002,-1.11
184,0050,2021,22818,-1342,-0.004,-0.51
185,0050,2022,22385,-21655,-0.062,0.0
186,0050,2023,10059,-1085,-0.003,0.0
187,0051,2018,29240,-21880,-0.029,0.0
188,0051,2019,18785,-6114,-0.007,0.0
189,0051,2020,12365,-15370,-0.018,0.0
190,0051,2021,9981,-14641,-0.017,0.0
191,0051,2022,9902,-6322,-0.007,0.0
192,0051,2023,2105,-1305,-0.001,0.0
193,0053,2018,178551,-29673,-0.151,0.0
194,0053,2019,94938,6123,0.031,0.0
195,0053,2020,131937,3944,0.02,0.0
196,0053,2021,53561,29137,0.148,0.13
197,0053,2022,65987,15360,0.078,0.26
198,0054,2018,157601,10834,0.023,0.13
199,0054,2019,152125,4402,0.009,0.33
200,0054,2020,153498,6837,0.014,0.31
201,0054,2021,136588,4705,0.01,1.02
202,0054,2022,188312,7557,0.016,0.0
203,0054,2023,108367,4495,0.009,0.32
204,0055,2018,18019,-753,-0.003,0.0
205,0055,2019,17882,-530,-0.003,0.0
206,0055,2020,20338,235,0.001,0.0
207,0055,2021,15593,-1803,-0.007,0.0
208,0055,2022,13767,-1858,-0.006,0.0
209,0056,2018,82096,5472,0.012,0.52
210,0056,2019,135448,2842,0.006,0.83
211,0056,2020,99866,5627,0.011,0.93
212,0056,2021,210602,34553,0.058,0.0
213,0056,2022,174471,30356,0.033,0.0
214,0058,2018,8530,10030,0.072,0.0
215,0058,2019,8687,9873,0.072,0.0
216,0058,2020,6021,6347,0.047,0.0
217,0058,2021,6354,16850,0.127,0.0
218,0058,2022,8427,20852,0.158,0.0
219,0059,2018,73069,-1991,-0.012,0.0
220,0059,2019,62205,2512,0.016,0.0
221,0059,2020,127377,-2935,-0.009,0.0
222,0059,2021,213266,6089,0.018,0.0
223,0059,2022,166964,-12101,-0.031,0.0
224,0059,2023,93313,-2919,-0.008,0.0
225,0060,2018,154509,771,0.001,0.0
226,0060,2019,156004,286,0.001,0.0
227,0060,2020,145632,-12194,-0.014,0.0
228,0060,2021,185842,-11386,-0.016,0.0
229,0060,2022,168467,5630,0.007,0.0
230,0060,2023,71989,-1708,-0.002,0.0
231,0064,2018,3744,-7589,-0.011,0.0
232,0064,2019,3957,-8124,-0.012,0.0
233,0064,2020,4023,-4290,-0.006,0.0
234,0064,2021,9647,-3381,-0.005,0.0
235,0064,2022,13759,-2457,-0.003,0.0
236,0065,2018,22939,6620,0.016,0.94
237,0065,2019,22963,6494,0.013,0.77
238,0065,2020,31386,10822,0.019,0.53
239,0065,2021,37312,12659,0.023,0.44
240,0065,2022,22710,6867,0.012,0.41
241,0066,2018,2174,-1689,-0.005,0.0
242,0066,2019,2988,-1652,-0.004,0.0
243,0066,2020,2782,-3872,-0.01,0.0
244,0066,2021,7727,-33800,-0.017,0.0
245,0066,2022,10258,-26534,-0.006,0.0
246,0066,2023,807,-10099,-0.002,0.0
247,0068,2018,4262,-2347,-0.02,0.0
248,0068,2019,20261,-3725,-0.03,0.0
249,0068,2020,3786,-4676,-0.037,0.0
250,0068,2021,4304,-2214,-0.015,0.0
251,0068,2022,3839,-4300,-0.019,0.0
252,0069,2018,122427,-69131,-0.012,0.0
253,0069,2019,38615,854,0.0,0.0
254,0069,2020,63920,3323,0.001,0.0
255,0069,2021,67388,4279,0.005,0.0
256,0069,2022,108381,1825,0.002,0.0
257,0070,2018,24647,-5251,-0.011,0.0
258,0070,2019,9652,-7482,-0.012,0.0
259,0070,2020,2993,-7610,-0.011,0.0
260,0070,2021,8128,-418,-0.001,0.0
261,0070,2022,18636,5600,0.001,0.0
262,0072,2018,23086,-5627,-0.01,0.0
263,0072,2019,20613,-8353,-0.018,0.0
264,0072,2020,19770,-15349,-0.032,0.0
265,0072,2021,30928,-20529,-0.009,0.0
266,0072,2022,78133,-128176,-0.023,0.0
267,0072,2023,33801,-23790,-0.004,0.0
268,0074,2018,154672,-7305,-0.027,0.0
269,0074,2019,361476,1958,0.007,0.0
270,0074,2020,222844,-10837,-0.038,0.0
271,0074,2021,36278,-12482,-0.013,0.0
272,0074,2022,7607,-20841,-0.01,0.0
273,0074,2023,973,-8592,-0.004,0.0
274,0075,2018,18175,-5153,-0.022,0.0
275,0075,2019,14683,-5849,-0.019,0.0
276,0075,2020,12434,-9643,-0.029,0.0
277,0075,2021,26109,-11669,-0.032,0.0
278,0075,2022,64596,-9087,-0.022,0.0
279,0075,2023,43128,-8880,-0.018,0.0
280,0078,2018,292988,23627,0.004,0.47
281,0078,2019,317576,32470,0.006,0.42
282,0078,2020,363220,18838,0.003,0.63
283,0078,2021,638054,42838,0.007,0.49
284,0078,2022,280695,-11190,-0.002,0.0
285,0079,2018,6876,-2249,-0.004,0.0
286,0079,2019,5686,1725,0.003,0.0
287,0079,2020,8653,-3932,-0.006,0.0
288,0079,2021,5810,-87242,-0.1,0.0
289,0079,2022,4849,-256,0.0,0.0
290,0080,2018,255792,4059,0.009,0.0
291,0080,2019,663228,7102,0.011,0.0
292,0080,2020,675316,3121,0.005,0.0
293,0080,2021,1319023,4403,0.006,0.0
294,0080,2022,2375621,5839,0.007,0.0
295,0081,2018,7593,1095,0.005,0.0
296,0081,2019,2943,163,0.001,0.0
297,0081,2020,4773,-10385,-0.042,0.0
298,0081,2021,12156,-27658,-0.05,0.0
299,0081,2022,15371,-3206,-0.005,0.0
300,0081,2023,2011,-391,-0.001,0.0
301,0082,2018,399243,-66446,-0.077,0.0
302,0082,2019,609600,-43689,-0.048,0.0
303,0082,2020,618539,-73099,-0.075,0.0
304,0082,2021,547333,-153564,-0.12,0.0
305,0082,2022,459336,-31545,-0.024,0.0
306,0083,2018,256154,44731,0.134,0.07
307,0083,2019,237731,7593,0.023,0.44
308,0083,2020,242279,6292,0.023,0.0
309,0083,2021,353373,-7763,-0.015,0.0
310,0083,2022,336482,8736,0.017,0.0
311,0084,2018,30422,3980,0.018,0.57
312,0084,2019,29530,3505,0.015,0.65
313,0084,2020,33147,2078,0.009,1.1
314,0084,2021,201131,-5679,-0.016,0.0
315,0084,2022,195067,-1844,-0.011,0.0
316,0085,2018,2104,-3862,-0.005,0.0
317,0085,2019,7786,-5673,-0.009000000000000001,0.0
318,0085,2020,8318,-28249,-0.039,0.0
319,0085,2021,83982,-14586,-0.029,0.0
320,0085,2022,20879,-13062,-0.01,0.0
321,0085,2023,4509,-2414,-0.002,0.0
322,0086,2018,3430,-2346,-0.01,0.0
323,0086,2019,3266,-618,-0.003,0.0
324,0086,2020,1270,-6669,-0.029,0.0
325,0086,2021,5472,192,0.001,0.0
326,0086,2022,13851,-77,0.0,0.0
327,0086,2023,6770,-951,-0.004,0.0
328,0089,2018,37570,7821,0.031,0.2
329,0089,2019,30569,5096,0.02,0.3
330,0089,2020,23755,3429,0.014,0.0
331,0089,2021,28735,6224,0.024,0.0
332,0089,2022,23986,5163,0.022,0.27
333,0090,2018,78150,39916,0.103,0.73
334,0090,2019,33550,17760,0.026,1.13
335,0090,2020,18128,694,0.001,9.09
336,0090,2021,29181,11026,0.016,0.91
337,0090,2022,23258,11627,0.017,0.58
338,0091,2018,290667,-158449,-0.078,0.0
339,0091,2019,47289,-1368,-0.001,0.0
340,0091,2020,167982,-47308,-0.025,0.0
341,0091,2021,79305,-13422,-0.007,0.0
342,0091,2022,55597,504090,0.842,0.0
343,0091,2023,18147,3050,0.005,0.0
344,0092,2018,22677,1377,0.004,0.0
345,0092,2019,27501,-21597,-0.042,0.0
346,0092,2020,9228,-27811,-0.043,0.0
347,0092,2021,18727,-22060,-0.020999999999999998,0.0
348,0092,2022,21692,-10323,-0.011,0.0
349,0093,2018,13099,-3396,-0.011,0.0
350,0093,2019,18784,-944,-0.003,0.0
351,0093,2020,18075,-942,-0.002,0.0
352,0093,2021,304273,30995,0.07,0.29
353,0093,2022,19088,-7547,-0.017,0.0
354,0094,2018,9448,-18142,-0.02,0.0
355,0094,2019,5276,-5675,-0.021,0.0
356,0094,2020,2773,2937,0.01,0.0
357,0094,2021,16036,-15036,-0.056999999999999995,0.0
358,0094,2022,26909,2566,0.0,0.0
359,0094,2023,8765,-1625,-0.002,0.0
360,0095,2018,315001,-22936,-0.009,0.0
361,0095,2019,600056,-101418,-0.182,0.0
362,0095,2020,16454,1249,0.002,0.0
363,0095,2021,65088,7968,0.012,0.0
364,0095,2022,135440,17521,0.013,0.0
365,0095,2023,30361,7027,0.005,0.0
366,0096,2018,45638,-57863,-0.031,0.0
367,0096,2019,58341,-27245,-0.011,0.0
368,0096,2020,41277,-61795,-0.024,0.0
369,0096,2021,75077,-5366,-0.002,0.0
370,0096,2022,63152,-25202,-0.006,0.0
371,0096,2023,11603,-4020,-0.001,0.0
372,0097,2018,394684,105484,0.224,0.21
373,0097,2019,339592,79651,0.169,0.33
374,0097,2020,470379,105621,0.224,0.33
375,0097,2021,680124,169664,0.359,0.18
376,0097,2022,560254,152218,0.161,0.21
377,0098,2018,22219,59758,0.099,0.0
378,0098,2019,65052,5550,0.002,0.0
379,0098,2020,95131,-171154,-0.14,0.0
380,0098,2021,95855,-14316,-0.012,0.0
381,0098,2022,149302,12426,0.01,0.0
382,0098,2023,85052,5708,0.005,0.0
383,0099,2018,165289,32221,0.091,0.99
384,0099,2019,161160,20209,0.057,0.97
385,0099,2020,181330,22052,0.063,0.8
386,0099,2021,216196,25818,0.073,0.83
387,0099,2022,265052,31452,0.088,0.79
388,0099,2023,67769,9017,0.025,0.79
389,0100,2018,25186,233,0.001,5.45
390,0100,2019,32486,786,0.003,1.76
391,0100,2020,35128,2437,0.012,0.49
392,0100,2021,92911,30190,0.071,0.71
393,0100,2022,115890,48612,0.096,0.0
394,0100,2023,99248,7237,0.014,0.0
395,0101,2018,169039,28056,0.016,0.11
396,0101,2019,194978,28096,0.016,0.12
397,0101,2020,153406,13275,0.008,0.22
398,0101,2021,201024,20254,0.012,0.19
399,0101,2022,243774,41389,0.024,0.12
400,0101,2023,71871,6228,0.004,0.0
401,0102,2018,99608,-9527,-0.029,0.0
402,0102,2019,52616,-7317,-0.022,0.0
403,0102,2020,52746,-3713,-0.009,0.0
404,0102,2021,94582,-23950,-0.027,0.0
405,0102,2022,26349,-2877,-0.003,0.0
406,0102,2023,13275,-1100,-0.001,0.0
407,0103,2018,7279,-1666,-0.004,0.0
408,0103,2019,20249,-1781,-0.004,0.0
409,0103,2020,20057,-4324,-0.005,0.0
410,0103,2021,21239,-17774,-0.013,0.0
411,0103,2022,15025,-17453,-0.01,0.0
412,0103,2023,5726,-2849,-0.001,0.0
413,0104,2018,101028,3541,0.1,0.0
414,0104,2019,97159,5614,0.143,0.35
415,0104,2020,80333,-167,-0.004,0.0
416,0104,2021,97077,-4247,-0.097,0.0
417,0104,2022,223559,56401,0.864,0.0
418,0104,2023,143875,43548,0.064,0.0
419,0105,2018,73018,-2881,-0.006,-0.78
420,0105,2019,73112,-5053,-0.011,0.0
421,0105,2020,80523,15853,0.024,0.0
422,0105,2021,84188,-8266,-0.009,0.0
423,0105,2022,72192,-3923,-0.005,0.0
424,0106,2018,21173,7857,0.044,0.68
425,0106,2019,21982,7877,0.044,0.68
426,0106,2020,25059,9516,0.054,0.56
427,0106,2021,24647,9894,0.056,0.71
428,0106,2022,24878,9451,0.054,0.74
429,0106,2023,6535,2429,0.014,2.88
430,0107,2018,29176,-44852,-0.045,0.0
431,0107,2019,16066,-6779,-0.007,0.0
432,0107,2020,30286,-53416,-0.043,0.0
433,0107,2021,9588,-23532,-0.014,0.0
434,0107,2022,9180,-13199,-0.006,0.0
435,0107,2023,7080,2146,0.001,0.0
436,0108,2018,108055,13095,0.025,1.58
437,0108,2019,105095,15679,0.028,0.35
438,0108,2020,112379,27096,0.049,0.72
439,0108,2021,115755,21988,0.039,1.02
440,0108,2022,78425,11092,0.02,0.5
441,0109,2018,21528,1082,0.001,0.0
442,0109,2019,13633,1373,0.002,0.0
443,0109,2020,7190,-749,-0.001,0.0
444,0109,2021,3351,-1865,-0.002,0.0
445,0109,2022,4684,-2990,-0.003,0.0
446,0109,2023,0,-1199,-0.001,0.0
447,0111,2018,73781,5645,0.01,0.0
448,0111,2019,97078,6223,0.009,0.0
449,0111,2020,91203,-8813,-0.011,0.0
450,0111,2021,125544,-2647,-0.003,0.0
451,0111,2022,118030,-308,0.0,0.0
452,0112,2018,47793,5977,0.017,0.6
453,0112,2019,41133,4221,0.01,0.31
454,0112,2020,50425,3146,0.006,0.0
455,0112,2021,58220,4961,0.008,0.06
456,0112,2022,53082,4900,0.008,0.06
457,0112,2023,13628,2554,0.004,0.0
458,0113,2018,47843,8974,0.055,0.36
459,0113,2019,43008,7579,0.038,0.52
460,0113,2020,22699,1841,0.009,1.08
461,0113,2021,37980,8249,0.042,0.48
462,0113,2022,46237,8580,0.043,0.23
463,0116,2018,24062,-3301,-0.002,0.0
464,0116,2019,39130,-1661,-0.001,0.0
465,0116,2020,66259,16724,0.005,0.0
466,0116,2021,71115,8845,0.002,0.0
467,0116,2022,30457,-83992,-0.013,0.0
468,0116,2023,15699,-11517,-0.002,0.0
469,0117,2018,126417,3616,0.011,0.0
470,0117,2019,141631,-38370,-0.094,0.0
471,0117,2020,130163,-9943,-0.024,0.0
472,0117,2021,159724,1671,0.004,0.0
473,0117,2022,133609,8789,0.02,0.0
474,0118,2018,4092,-11729,-0.007,0.0
475,0118,2019,4185,-5461,-0.002,0.0
476,0118,2020,4534,-4488,-0.002,0.0
477,0118,2021,9845,-56958,-0.021,0.0
478,0118,2022,9690,13582,0.011,0.0
479,0118,2023,2362,-2091,-0.002,0.0
480,0119,2018,178545,442,0.001,0.0
481,0119,2019,91418,-261,-0.001,0.0
482,0119,2020,74337,679,0.002,0.0
483,0119,2021,64515,-320,0.0,0.0
484,0119,2022,53687,588,0.0,0.0
485,0120,2018,41394,8073,0.048,0.0
486,0120,2019,31580,5070,0.03,0.67
487,0120,2020,26270,2446,0.014,0.0
488,0120,2021,47880,9515,0.055,0.0
489,0120,2022,51084,12715,0.073,0.21
490,0122,2018,9551,-2264,-0.009,0.0
491,0122,2019,4944,-4083,-0.017,0.0
492,0122,2020,10851,-3795,-0.016,0.0
493,0122,2021,7752,-5124,-0.02,0.0
494,0122,2022,3672,-2547,-0.01,0.0
495,0123,2018,52532,-4156,-0.007,0.0
496,0123,2019,38866,-5113,-0.009,0.0
497,0123,2020,41556,-6184,-0.01,0.0
498,0123,2021,40576,-1903,-0.003,0.0
499,0123,2022,26147,-2525,-0.004,0.0
500,0126,2018,206043,-50187,-0.3,0.0
501,0126,2019,189756,926,0.006,0.0
502,0126,2020,220963,10640,0.062,0.16
503,0126,2021,178177,31506,0.146,0.0
504,0126,2022,217876,26020,0.114,0.0
505,0126,2023,109863,13983,0.013,0.38
506,0127,2018,264928,35281,0.067,0.3
507,0127,2019,256792,30466,0.055,0.37
508,0127,2020,250970,21388,0.038,0.26
509,0127,2021,296565,34491,0.062,0.0
510,0127,2022,268994,20359,0.036,0.0
511,0128,2018,327218,52257,0.05,0.3
512,0128,2019,339911,69170,0.066,0.38
513,0128,2020,368319,81967,0.078,0.51
514,0128,2021,450222,104504,0.074,0.54
515,0128,2022,381910,93449,0.06,0.27
516,0129,2018,14183,1868,0.015,0.0
517,0129,2019,14639,-4844,-0.024,0.0
518,0129,2020,9073,-2970,-0.014,0.0
519,0129,2021,9976,-2789,-0.018,0.0
520,0129,2022,10975,-2223,-0.013,0.0
521,0129,2023,2559,-1028,-0.005,0.0
522,0131,2018,83915,-2459,-0.002,0.0
523,0131,2019,104905,3818,0.005,0.0
524,0131,2020,55312,-5630,-0.008,-0.53
525,0131,2021,14035,-18626,-0.025,0.0
526,0131,2022,16914,625,0.001,0.0
527,0131,2023,5662,-359,0.0,0.0
528,0132,2018,56433,-2533,-0.005,0.0
529,0132,2019,52737,-7570,-0.013000000000000001,0.0
530,0132,2020,65101,-14164,-0.022,0.0
531,0132,2021,58951,-4924,-0.006,0.0
532,0132,2022,34856,-8971,-0.011,0.0
