,Announced,Financial Year,Subject,EX Date,Payment Date,Amount,Indicator,Stock Code,Year
0,20/4/2022,31/12/2021,Interim Dividend,10/5/2022,27/5/2022,0.026,Currency,5250,2021
1,15/4/2021,31/12/2020,Interim Dividend,5/5/2021,21/5/2021,0.016,Currency,5250,2020
2,22/4/2020,31/12/2019,Interim Dividend,12/5/2020,28/5/2020,0.023,Currency,5250,2019
3,29/4/2019,31/12/2018,Interim Dividend,9/5/2019,23/5/2019,0.024,Currency,5250,2018
4,1/12/2022,31/12/2022,Income Distribution,23/12/2022,12/1/2023,0.0385,Currency,0800EA,2022
5,26/5/2021,31/12/2020,Income Distribution,24/6/2021,15/7/2021,0.037,Currency,0800EA,2020
6,30/11/2020,31/12/2020,Income Distribution,28/12/2020,14/1/2021,0.0241,Currency,0800EA,2020
7,3/12/2019,31/12/2019,Income Distribution,24/12/2019,16/1/2020,0.0159,Currency,0800EA,2019
8,7/12/2018,31/12/2018,Income Distribution,27/12/2018,18/1/2019,0.0465,Currency,0800EA,2018
9,29/11/2022,31/12/2022,Third Interim Dividend,13/12/2022,30/12/2022,0.01,Currency,7167,2022
10,30/8/2022,31/12/2022,Second Interim Dividend,13/9/2022,28/9/2022,0.015,Currency,7167,2022
11,1/6/2022,31/12/2022,First Interim Dividend,17/6/2022,30/6/2022,0.005,Currency,7167,2022
12,2/3/2022,31/12/2021,Fourth Interim Dividend,17/3/2022,30/3/2022,0.015,Currency,7167,2021
13,2/12/2021,31/12/2021,Third Interim Dividend,17/12/2021,31/12/2021,0.01,Currency,7167,2021
14,26/8/2021,31/12/2021,Second Interim Dividend,13/9/2021,30/9/2021,0.015,Currency,7167,2021
15,3/6/2021,31/12/2021,First Interim Dividend,21/6/2021,16/7/2021,0.01,Currency,7167,2021
16,24/3/2021,31/12/2020,Fourth Interim Dividend,8/4/2021,30/4/2021,0.01,Currency,7167,2020
17,25/11/2020,31/12/2020,Third Interim Dividend,10/12/2020,4/1/2021,0.02,Currency,7167,2020
18,27/8/2020,31/12/2020,Second Interim Dividend,11/9/2020,28/9/2020,0.017,Currency,7167,2020
19,19/6/2020,31/12/2020,First Interim Dividend,3/7/2020,29/7/2020,0.007,Currency,7167,2020
20,27/2/2020,31/12/2019,Fourth Interim Dividend,12/3/2020,31/3/2020,0.014,Currency,7167,2019
21,2/12/2019,31/12/2019,Interim Dividend,16/12/2019,30/12/2019,0.02,Currency,7167,2019
22,4/9/2019,31/12/2019,Interim Dividend,24/9/2019,14/10/2019,0.015,Currency,7167,2019
23,3/6/2019,31/12/2019,Interim Dividend,20/6/2019,3/7/2019,0.015,Currency,7167,2019
24,28/2/2019,31/12/2018,Interim Dividend,13/3/2019,29/3/2019,0.02,Currency,7167,2018
25,3/12/2018,31/12/2018,Interim Dividend,13/12/2018,26/12/2018,0.015,Currency,7167,2018
26,30/8/2018,31/12/2018,Interim Dividend,14/9/2018,28/9/2018,0.005,Currency,7167,2018
27,28/5/2018,31/12/2018,Interim Dividend,11/6/2018,26/6/2018,0.01,Currency,7167,2018
28,20/4/2021,31/12/2021,Interim Dividend,27/4/2021,27/5/2021,0.0099,Currency,3028,2021
29,22/10/2020,28/2/2021,Interim Dividend,13/11/2020,30/11/2020,0.003,Currency,218,2021
30,28/4/2022,31/12/2021,First and Final Dividend,27/7/2022,18/8/2022,0.0015,Currency,1481,2021
31,28/4/2021,31/12/2020,Final Dividend,27/7/2021,18/8/2021,0.0015,Currency,1481,2020
32,22/6/2020,31/12/2019,Final Dividend,27/7/2020,18/8/2020,0.0035,Currency,1481,2019
33,29/4/2019,31/12/2018,Final Dividend,25/7/2019,15/8/2019,0.0025,Currency,1481,2018
34,26/11/2020,31/12/2020,First Interim Dividend,15/12/2020,30/12/2020,0.01,Currency,5281,2020
35,21/11/2019,31/12/2019,First Interim Dividend,5/12/2019,30/12/2019,0.006,Currency,5281,2019
36,22/11/2018,31/12/2018,First Interim Dividend,6/12/2018,3/1/2019,0.01,Currency,5281,2018
37,29/4/2019,31/12/2018,Final Dividend,27/6/2019,25/7/2019,0.02,Currency,9148,2018
38,28/11/2018,31/12/2018,Interim Dividend,27/12/2018,23/1/2019,0.04,Currency,9148,2018
39,30/12/2019,31/12/2019,Special Dividend,14/1/2020,22/1/2020,0.07,Currency,7191,2019
40,30/12/2019,31/12/2019,Special Dividend,14/1/2020,22/1/2020,0.07,Currency,7146,2019
41,23/11/2018,30/9/2018,First Interim Dividend,4/12/2018,27/12/2018,0.002,Currency,181,2018
42,26/4/2022,31/12/2021,Final Dividend,30/5/2022,20/6/2022,0.03,Currency,6599,2021
43,24/5/2021,31/12/2020,Final Dividend,14/7/2021,29/7/2021,0.015,Currency,6599,2020
44,21/5/2020,31/12/2019,Final Dividend,15/7/2020,30/7/2020,0.04,Currency,6599,2019
45,29/4/2019,31/12/2018,Final Dividend,13/6/2019,11/7/2019,0.04,Currency,6599,2018
46,5/4/2022,28/2/2022,Final Dividend,6/7/2022,21/7/2022,0.15,Currency,5139,2022
47,5/4/2022,28/2/2022,Special Dividend,6/7/2022,21/7/2022,0.05,Currency,5139,2022
48,28/9/2021,28/2/2022,Interim Dividend,13/10/2021,3/11/2021,0.285,Currency,5139,2022
49,8/4/2021,28/2/2021,Final Dividend,30/6/2021,15/7/2021,0.2,Currency,5139,2021
50,29/9/2020,28/2/2021,Interim Dividend,14/10/2020,5/11/2020,0.092,Currency,5139,2021
51,9/4/2020,29/2/2020,Final Dividend,1/7/2020,16/7/2020,0.14,Currency,5139,2020
52,26/9/2019,29/2/2020,Interim Dividend,17/10/2019,7/11/2019,0.2225,Currency,5139,2020
53,29/4/2019,28/2/2019,Final Dividend,3/7/2019,18/7/2019,0.2235,Currency,5139,2019
54,4/10/2018,28/2/2019,Interim Dividend,16/10/2018,8/11/2018,0.2225,Currency,5139,2019
55,27/4/2018,28/2/2018,Final Dividend,27/6/2018,19/7/2018,0.2,Currency,5139,2018
56,5/10/2017,28/2/2018,Interim Dividend,17/10/2017,7/11/2017,0.2113,Currency,5139,2018
57,15/11/2022,31/12/2022,Special Dividend (with Dividend Re-Investment Plan),30/11/2022,29/12/2022,0.1809,Currency,5185,2022
58,15/11/2022,31/12/2022,Interim Dividend (with Dividend Re-Investment Plan),30/11/2022,29/12/2022,0.0453,Currency,5185,2022
59,25/5/2022,31/12/2021,Final Dividend (with Dividend Re-Investment Plan),9/6/2022,7/7/2022,0.125,Currency,5185,2021
60,9/3/2021,31/12/2020,Interim Dividend (with Dividend Re-Investment Plan),22/3/2021,19/4/2021,0.035,Currency,5185,2020
61,28/7/2020,31/12/2019,Interim Dividend (with Dividend Re-Investment Plan),11/8/2020,9/9/2020,0.07,Currency,5185,2019
62,10/12/2018,31/12/2018,Interim Dividend (with Dividend Re-Investment Plan),20/12/2018,22/1/2019,0.05,Currency,5185,2018
63,24/11/2020,31/12/2020,First Interim Dividend,10/12/2020,31/12/2020,0.0025,Currency,209,2020
64,26/11/2019,31/12/2019,Interim Dividend,10/12/2019,31/12/2019,0.0015,Currency,209,2019
65,3/8/2022,31/3/2022,First and Final Dividend,30/8/2022,28/9/2022,0.085,Currency,2658,2022
66,17/8/2021,31/3/2021,First and Final Dividend,22/9/2021,22/10/2021,0.3825,Currency,2658,2021
67,17/8/2020,31/3/2020,First and Final Dividend,1/10/2020,28/10/2020,0.493,Currency,2658,2020
68,25/7/2019,31/3/2019,First and Final Dividend,30/8/2019,23/9/2019,0.47,Currency,2658,2019
69,26/7/2018,31/3/2018,First and Final Dividend,29/8/2018,21/9/2018,0.465,Currency,2658,2018
70,25/11/2022,31/12/2022,Income Distribution,15/12/2022,6/1/2023,0.02,Currency,5116,2022
71,26/8/2022,31/12/2022,Income Distribution,19/9/2022,11/10/2022,0.02,Currency,5116,2022
72,30/5/2022,31/12/2022,Income Distribution,16/6/2022,8/7/2022,0.02,Currency,5116,2022
73,27/1/2022,31/12/2021,Income Distribution,11/2/2022,28/2/2022,0.018,Currency,5116,2021
74,26/11/2021,31/12/2021,Income Distribution,23/12/2021,20/1/2022,0.02,Currency,5116,2021
75,26/8/2021,31/12/2021,Income Distribution,24/9/2021,22/10/2021,0.02,Currency,5116,2021
76,28/5/2021,31/12/2021,Income Distribution,25/6/2021,16/7/2021,0.02,Currency,5116,2021
77,26/1/2021,31/12/2020,Income Distribution,11/2/2021,26/2/2021,0.0345,Currency,5116,2020
78,23/10/2020,31/12/2020,Income Distribution,12/11/2020,4/12/2020,0.013,Currency,5116,2020
79,28/8/2020,31/12/2020,Income Distribution,17/9/2020,12/10/2020,0.0206,Currency,5116,2020
80,31/1/2020,31/12/2019,Income Distribution,14/2/2020,28/2/2020,0.0202,Currency,5116,2019
81,21/11/2019,31/12/2019,Income Distribution,11/12/2019,10/1/2020,0.0196,Currency,5116,2019
82,30/8/2019,31/12/2019,Income Distribution,23/9/2019,17/10/2019,0.0186,Currency,5116,2019
83,29/5/2019,31/12/2019,Income Distribution,17/6/2019,12/7/2019,0.0191,Currency,5116,2019
84,30/1/2019,31/12/2018,Income Distribution,14/2/2019,28/2/2019,0.0207,Currency,5116,2018
85,30/11/2018,31/12/2018,Income Distribution,17/12/2018,14/1/2019,0.0193,Currency,5116,2018
86,29/8/2018,31/12/2018,Income Distribution,18/9/2018,19/10/2018,0.0195,Currency,5116,2018
87,24/5/2018,31/12/2018,Income Distribution,13/6/2018,9/7/2018,0.0175,Currency,5116,2018
88,26/4/2022,31/12/2021,First and Final Dividend,12/7/2022,29/7/2022,0.025,Currency,2674,2021
89,31/5/2022,31/3/2022,Interim Dividend,16/6/2022,30/6/2022,0.102,Currency,2488,2022
90,26/11/2021,31/3/2022,Interim Dividend,14/12/2021,30/12/2021,0.083,Currency,2488,2022
91,31/5/2021,31/3/2021,Interim Dividend,16/6/2021,30/6/2021,0.0579,Currency,2488,2021
92,27/11/2019,31/3/2020,First Interim Dividend,12/12/2019,30/12/2019,0.06,Currency,2488,2020
93,29/5/2019,31/3/2019,Second interim dividend,17/6/2019,27/6/2019,0.082,Currency,2488,2019
94,29/11/2018,31/3/2019,First Interim Dividend,14/12/2018,28/12/2018,0.085,Currency,2488,2019
95,31/5/2018,31/3/2018,Second interim dividend,18/6/2018,28/6/2018,0.068,Currency,2488,2018
96,30/11/2017,31/3/2018,First Interim Dividend,15/12/2017,28/12/2017,0.085,Currency,2488,2018
97,6/1/2023,31/12/2022,Interim Dividend,25/1/2023,17/2/2023,0.69,Currency,1163,2022
98,28/6/2022,31/12/2022,Interim Dividend,18/7/2022,5/8/2022,0.16,Currency,1163,2022
99,12/1/2022,31/12/2021,Interim Dividend,27/1/2022,18/2/2022,0.63,Currency,1163,2021
100,8/1/2021,31/12/2020,Interim Dividend,25/1/2021,18/2/2021,0.58,Currency,1163,2020
101,10/1/2020,31/12/2019,Special Dividend,24/1/2020,14/2/2020,0.14,Currency,1163,2019
102,10/1/2020,31/12/2019,Interim Dividend,24/1/2020,14/2/2020,0.51,Currency,1163,2019
103,3/1/2019,31/12/2018,Interim Dividend,23/1/2019,15/2/2019,0.4,Currency,1163,2018
104,23/2/2022,30/6/2022,First Interim Dividend,22/3/2022,7/4/2022,0.0062,Currency,3051,2022
105,25/11/2022,31/12/2022,Income Distribution,15/12/2022,6/1/2023,0.005,Currency,5269,2022
106,26/8/2022,31/12/2022,Income Distribution,19/9/2022,11/10/2022,0.005,Currency,5269,2022
107,27/1/2022,31/12/2021,Income Distribution,11/2/2022,28/2/2022,0.018,Currency,5269,2021
108,26/11/2021,31/12/2021,Income Distribution,23/12/2021,20/1/2022,0.005,Currency,5269,2021
109,26/1/2021,31/12/2020,Income Distribution,11/2/2021,26/2/2021,0.0122,Currency,5269,2020
110,11/3/2020,31/12/2020,Income Distribution,24/3/2020,15/4/2020,0.0086,Currency,5269,2020
111,31/1/2020,31/12/2019,Income Distribution,14/2/2020,28/2/2020,0.0141,Currency,5269,2019
112,21/11/2019,31/12/2019,Income Distribution,11/12/2019,10/1/2020,0.0107,Currency,5269,2019
113,30/8/2019,31/12/2019,Income Distribution,23/9/2019,17/10/2019,0.0109,Currency,5269,2019
114,29/5/2019,31/12/2019,Income Distribution,17/6/2019,12/7/2019,0.0118,Currency,5269,2019
115,30/1/2019,31/12/2018,Income Distribution,14/2/2019,28/2/2019,0.0235,Currency,5269,2018
116,30/11/2018,31/12/2018,Income Distribution,17/12/2018,14/1/2019,0.01,Currency,5269,2018
117,29/8/2018,31/12/2018,Income Distribution,18/9/2018,19/10/2018,0.01,Currency,5269,2018
118,24/5/2018,31/12/2018,Income Distribution,13/6/2018,9/7/2018,0.01,Currency,5269,2018
119,25/8/2022,31/12/2022,Income Distribution,9/9/2022,11/10/2022,0.0164,Currency,5127,2022
120,8/3/2022,31/12/2021,Income Distribution,16/3/2022,13/4/2022,0.0221,Currency,5127,2021
121,30/8/2021,31/12/2021,Income Distribution,13/9/2021,13/10/2021,0.0281,Currency,5127,2021
122,1/3/2021,31/12/2020,Income Distribution,16/3/2021,12/4/2021,0.0289,Currency,5127,2020
123,21/8/2020,31/12/2020,Income Distribution,7/9/2020,2/10/2020,0.022,Currency,5127,2020
124,10/2/2020,31/12/2019,Income Distribution,6/3/2020,3/4/2020,0.017,Currency,5127,2019
125,25/11/2019,31/12/2019,Income Distribution,11/12/2019,10/1/2020,0.015,Currency,5127,2019
126,30/8/2019,31/12/2019,Income Distribution,18/9/2019,18/10/2019,0.015,Currency,5127,2019
127,24/5/2019,31/12/2019,Income Distribution,14/6/2019,12/7/2019,0.015,Currency,5127,2019
128,14/2/2019,31/12/2018,Income Distribution,13/3/2019,12/4/2019,0.0145,Currency,5127,2018
129,29/11/2018,31/12/2018,Income Distribution,13/12/2018,11/1/2019,0.0135,Currency,5127,2018
130,30/8/2018,31/12/2018,Income Distribution,14/9/2018,12/10/2018,0.0193,Currency,5127,2018
131,30/5/2018,31/12/2018,Income Distribution,19/6/2018,13/7/2018,0.0135,Currency,5127,2018
132,26/5/2022,31/3/2022,Interim Dividend,15/6/2022,7/7/2022,0.025,Currency,5293,2022
133,27/5/2021,31/3/2021,Interim Dividend,16/6/2021,8/7/2021,0.04,Currency,5293,2021
134,25/6/2020,31/3/2020,Interim Dividend,29/7/2020,18/8/2020,0.03,Currency,5293,2020
135,26/4/2022,31/3/2022,Income Distribution,17/5/2022,31/5/2022,0.0193,Currency,5120,2022
136,24/11/2021,31/3/2022,Income Distribution,10/12/2021,29/12/2021,0.0109,Currency,5120,2022
137,19/4/2021,31/3/2021,Income Distribution,6/5/2021,27/5/2021,0.0142,Currency,5120,2021
138,20/11/2020,31/3/2021,Income Distribution,8/12/2020,28/12/2020,0.014,Currency,5120,2021
139,18/5/2020,31/3/2020,Income Distribution,4/6/2020,25/6/2020,0.0149,Currency,5120,2020
140,15/11/2019,31/3/2020,Income Distribution,3/12/2019,20/12/2019,0.0186,Currency,5120,2020
141,29/4/2019,31/3/2019,Income Distribution,9/5/2019,29/5/2019,0.0213,Currency,5120,2019
142,15/11/2018,31/3/2019,Income Distribution,3/12/2018,21/12/2018,0.0187,Currency,5120,2019
143,10/5/2018,31/3/2018,Income Distribution,7/5/2018,25/5/2018,0.0208,Currency,5120,2018
144,21/11/2017,31/3/2018,Income Distribution,5/12/2017,21/12/2017,0.0212,Currency,5120,2018
145,3/10/2022,31/3/2022,Final Dividend,11/10/2022,21/10/2022,0.004,Currency,3011,2022
146,2/8/2021,31/3/2022,Interim Dividend,17/8/2021,30/8/2021,0.002,Currency,3011,2022
147,3/6/2022,31/3/2022,Final Dividend,20/6/2022,6/7/2022,0.05,Currency,1015,2022
148,29/6/2020,31/3/2020,Final Dividend,16/7/2020,30/7/2020,0.073,Currency,1015,2020
149,29/11/2019,31/3/2020,Interim Dividend,13/12/2019,27/12/2019,0.06,Currency,1015,2020
150,12/6/2019,31/3/2019,Final Dividend,25/6/2019,5/7/2019,0.15,Currency,1015,2019
151,22/11/2018,31/3/2019,Interim Dividend,13/12/2018,28/12/2018,0.05,Currency,1015,2019
152,28/6/2018,31/3/2018,Final Dividend,9/8/2018,28/8/2018,0.1,Currency,1015,2018
153,28/11/2017,31/3/2018,Interim Dividend,13/12/2017,28/12/2017,0.05,Currency,1015,2018
154,16/11/2022,31/12/2022,Interim Dividend,5/12/2022,16/12/2022,0.05,Currency,6351,2022
155,24/8/2022,31/12/2022,Interim Dividend,9/9/2022,23/9/2022,0.05,Currency,6351,2022
156,25/5/2022,31/12/2022,Interim Dividend,10/6/2022,24/6/2022,0.05,Currency,6351,2022
157,23/2/2022,31/12/2021,Interim Dividend,10/3/2022,25/3/2022,0.09,Currency,6351,2021
158,2/12/2021,31/12/2021,Interim Dividend,2/12/2021,17/12/2021,0.05,Currency,6351,2021
159,25/8/2021,31/12/2021,Interim Dividend,10/9/2021,27/9/2021,0.05,Currency,6351,2021
160,25/5/2021,31/12/2021,Interim Dividend,10/6/2021,25/6/2021,0.05,Currency,6351,2021
161,24/2/2021,31/12/2020,Interim Dividend,11/3/2021,26/3/2021,0.125,Currency,6351,2020
162,18/11/2020,31/12/2020,Third Interim Dividend,4/12/2020,18/12/2020,0.05,Currency,6351,2020
163,19/8/2020,31/12/2020,Second Interim Dividend,4/9/2020,24/9/2020,0.05,Currency,6351,2020
164,23/6/2020,31/12/2020,First Interim Dividend,7/7/2020,24/7/2020,0.05,Currency,6351,2020
165,26/2/2020,31/12/2019,Interim Dividend,13/3/2020,27/3/2020,0.125,Currency,6351,2019
166,20/11/2019,31/12/2019,Interim Dividend,6/12/2019,20/12/2019,0.05,Currency,6351,2019
167,21/8/2019,31/12/2019,Second interim dividend,10/9/2019,26/9/2019,0.05,Currency,6351,2019
168,29/5/2019,31/12/2019,First Interim Dividend,18/6/2019,4/7/2019,0.05,Currency,6351,2019
169,26/2/2019,31/12/2018,Interim Dividend,13/3/2019,26/3/2019,0.125,Currency,6351,2018
170,14/11/2018,31/12/2018,Interim Dividend,28/11/2018,12/12/2018,0.05,Currency,6351,2018
171,20/8/2018,31/12/2018,Second interim dividend,4/9/2018,19/9/2018,0.05,Currency,6351,2018
172,16/5/2018,31/12/2018,First Interim Dividend,30/5/2018,13/6/2018,0.05,Currency,6351,2018
173,28/1/2022,30/4/2022,Interim Dividend,24/2/2022,11/3/2022,0.02,Currency,7083,2022
174,29/1/2021,30/4/2021,Interim Dividend,24/2/2021,12/3/2021,0.02,Currency,7083,2021
175,31/1/2020,30/4/2020,Interim Dividend,27/2/2020,13/3/2020,0.02,Currency,7083,2020
176,29/1/2019,30/4/2019,Interim Dividend,26/2/2019,15/3/2019,0.02,Currency,7083,2019
177,2/2/2018,30/4/2018,Interim Dividend,21/2/2018,15/3/2018,0.01,Currency,7083,2018
178,28/2/2022,31/12/2021,Second Interim Dividend,28/4/2022,27/5/2022,0.06,Currency,6556,2021
179,26/8/2021,31/12/2021,First Interim Dividend,14/9/2021,14/10/2021,0.06,Currency,6556,2021
180,29/4/2019,31/12/2018,Others,7/5/2019,24/5/2019,0.06,Currency,6556,2018
181,27/8/2018,31/12/2018,Interim Dividend,7/9/2018,27/9/2018,0.06,Currency,6556,2018
182,15/8/2022,30/9/2022,First Interim Dividend,30/8/2022,15/9/2022,0.1,Currency,5568,2022
183,15/8/2022,30/9/2022,First Interim Dividend,30/8/2022,15/9/2022,0.1,Currency,5088,2022
184,16/8/2022,31/12/2022,Interim Dividend,5/9/2022,15/9/2022,0.03,Currency,7090,2022
185,23/2/2022,31/12/2021,Special Dividend,1/6/2022,16/6/2022,0.06,Currency,7090,2021
186,23/2/2022,31/12/2021,Final Dividend,1/6/2022,16/6/2022,0.03,Currency,7090,2021
187,19/8/2021,31/12/2021,Interim Dividend,3/9/2021,15/9/2021,0.025,Currency,7090,2021
188,25/2/2021,31/12/2020,Final Dividend,1/6/2021,16/6/2021,0.028,Currency,7090,2020
189,26/8/2020,31/12/2020,Interim Dividend,11/9/2020,30/9/2020,0.017,Currency,7090,2020
190,14/4/2020,31/12/2019,Second Interim Dividend,1/6/2020,16/6/2020,0.02,Currency,7090,2019
191,21/8/2019,31/12/2019,Interim Dividend,11/9/2019,30/9/2019,0.017,Currency,7090,2019
192,29/4/2019,31/12/2018,Final Dividend,31/5/2019,14/6/2019,0.07,Currency,7090,2018
193,16/8/2018,31/12/2018,Interim Dividend,12/9/2018,28/9/2018,0.065,Currency,7090,2018
194,21/11/2022,31/12/2022,Interim Dividend,7/12/2022,21/12/2022,0.07,Currency,5015,2022
195,25/2/2022,31/12/2021,Final Dividend,12/4/2022,11/5/2022,0.07,Currency,5015,2021
196,28/4/2021,31/12/2020,Final Dividend,9/6/2021,24/6/2021,0.07,Currency,5015,2020
197,22/6/2020,31/12/2019,Final Dividend,12/8/2020,26/8/2020,0.05,Currency,5015,2019
198,27/8/2019,31/12/2019,Interim Dividend,18/9/2019,8/10/2019,0.05,Currency,5015,2019
199,29/4/2019,31/12/2018,Final Dividend,11/6/2019,26/6/2019,0.07,Currency,5015,2018
200,29/8/2018,31/12/2018,Interim Dividend,18/9/2018,8/10/2018,0.05,Currency,5015,2018
201,24/6/2022,30/4/2022,First and Final Dividend,14/12/2022,11/1/2023,0.15,Currency,6432,2022
202,29/6/2021,30/4/2021,Final Dividend,14/12/2021,12/1/2022,0.25,Currency,6432,2021
203,27/11/2020,30/4/2021,First Interim Dividend,10/12/2020,8/1/2021,0.1,Currency,6432,2021
204,27/11/2020,30/4/2020,First and Final Dividend,10/12/2020,8/1/2021,0.2,Currency,6432,2020
205,27/6/2019,30/4/2019,First and Final Dividend,11/12/2019,8/1/2020,0.2,Currency,6432,2019
206,28/6/2018,30/4/2018,First and Final Dividend,10/12/2018,9/1/2019,0.2,Currency,6432,2018
207,3/11/2022,31/7/2022,First and Final Dividend,8/12/2022,21/12/2022,0.0275,Currency,7214,2022
208,3/11/2021,31/7/2021,First and Final Dividend,9/12/2021,22/12/2021,0.0225,Currency,7214,2021
209,5/11/2020,31/7/2020,First and Final Dividend,10/12/2020,22/12/2020,0.02,Currency,7214,2020
210,31/10/2019,31/7/2019,First and Final Dividend,5/12/2019,18/12/2019,0.025,Currency,7214,2019
211,7/11/2018,31/7/2018,First and Final Dividend,13/12/2018,27/12/2018,0.0325,Currency,7214,2018
212,25/5/2022,31/3/2022,Final Dividend,10/6/2022,28/6/2022,0.01,Currency,7722,2022
213,30/6/2021,31/3/2021,Final Dividend,14/7/2021,30/7/2021,0.01,Currency,7722,2021
214,28/7/2022,31/3/2022,Final Dividend,4/10/2022,27/10/2022,0.02,Currency,7129,2022
215,27/8/2021,31/3/2021,Final Dividend,5/10/2021,28/10/2021,0.015,Currency,7129,2021
216,29/7/2019,31/3/2019,Final Dividend,3/10/2019,31/10/2019,0.07,Currency,7129,2019
217,1/4/2019,31/3/2019,Interim Dividend,17/4/2019,16/5/2019,0.04,Currency,7129,2019
218,27/12/2018,31/3/2019,Interim Dividend,14/1/2019,14/2/2019,0.03,Currency,7129,2019
219,30/7/2018,31/3/2018,Final Dividend,5/10/2018,1/11/2018,0.08,Currency,7129,2018
220,10/5/2018,31/3/2018,Interim Dividend,8/5/2018,24/5/2018,0.04,Currency,7129,2018
221,5/1/2018,31/3/2018,Interim Dividend,17/1/2018,8/2/2018,0.03,Currency,7129,2018
222,30/5/2018,31/12/2018,First Interim Dividend,12/6/2018,29/6/2018,0.005,Currency,105,2018
223,29/11/2022,31/7/2022,Final Dividend,9/3/2023,31/3/2023,0.01,Currency,7162,2022
224,29/11/2021,31/7/2021,Final Dividend,9/3/2022,31/3/2022,0.01,Currency,7162,2021
225,27/11/2020,31/7/2020,First and Final Dividend,9/3/2021,31/3/2021,0.015,Currency,7162,2020
226,28/11/2019,31/7/2019,First and Final Dividend,20/2/2020,13/3/2020,0.01,Currency,7162,2019
227,3/1/2019,31/7/2018,First and Final Dividend,6/3/2019,4/4/2019,0.01,Currency,7162,2018
228,26/8/2021,28/2/2022,First Interim Dividend,13/9/2021,24/9/2021,0.05,Currency,7048,2022
229,11/11/2020,28/2/2021,First Interim Dividend,26/11/2020,10/12/2020,0.05,Currency,7048,2021
230,28/4/2020,29/2/2020,Third Interim Dividend,14/5/2020,22/5/2020,0.1,Currency,7048,2020
231,10/10/2019,29/2/2020,Second interim dividend,30/10/2019,13/11/2019,0.05,Currency,7048,2020
232,12/7/2019,29/2/2020,First Interim Dividend,29/7/2019,9/8/2019,0.05,Currency,7048,2020
233,10/1/2019,28/2/2019,Second interim dividend,11/2/2019,13/3/2019,0.1,Currency,7048,2019
234,12/7/2018,28/2/2019,First Interim Dividend,25/7/2018,16/8/2018,0.1,Currency,7048,2019
235,11/1/2018,28/2/2018,Interim Dividend,15/2/2018,15/3/2018,0.1,Currency,7048,2018
236,12/10/2017,28/2/2018,Second interim dividend,30/10/2017,15/11/2017,0.05,Currency,7048,2018
237,13/7/2017,28/2/2018,First Interim Dividend,27/7/2017,23/8/2017,0.06,Currency,7048,2018
238,26/1/2023,31/12/2022,Income Distribution,10/2/2023,28/2/2023,0.019,Currency,5130,2022
239,27/10/2022,31/12/2022,Income Distribution,11/11/2022,30/11/2022,0.0185,Currency,5130,2022
240,28/7/2022,31/12/2022,Income Distribution,12/8/2022,30/8/2022,0.0225,Currency,5130,2022
241,28/4/2022,31/12/2022,Income Distribution,18/5/2022,2/6/2022,0.022,Currency,5130,2022
242,27/1/2022,31/12/2021,Income Distribution,15/2/2022,28/2/2022,0.0255,Currency,5130,2021
243,28/10/2021,31/12/2021,Income Distribution,12/11/2021,30/11/2021,0.025,Currency,5130,2021
244,27/7/2021,31/12/2021,Income Distribution,11/8/2021,30/8/2021,0.022,Currency,5130,2021
245,27/4/2021,31/12/2021,Income Distribution,12/5/2021,2/6/2021,0.025,Currency,5130,2021
246,22/1/2021,31/12/2020,Income Distribution,9/2/2021,26/2/2021,0.03,Currency,5130,2020
247,27/10/2020,31/12/2020,Income Distribution,12/11/2020,30/11/2020,0.02,Currency,5130,2020
248,6/8/2020,31/12/2020,Income Distribution,21/8/2020,15/9/2020,0.02,Currency,5130,2020
249,28/5/2020,31/12/2020,Income Distribution,12/6/2020,30/6/2020,0.02,Currency,5130,2020
250,6/2/2020,31/12/2019,Income Distribution,20/2/2020,9/3/2020,0.0223,Currency,5130,2019
251,29/10/2019,31/12/2019,Income Distribution,13/11/2019,29/11/2019,0.01,Currency,5130,2019
252,3/7/2019,31/12/2019,Income Distribution,17/7/2019,8/8/2019,0.02,Currency,5130,2019
253,8/3/2019,31/12/2019,Income Distribution,21/3/2019,22/4/2019,0.014,Currency,5130,2019
254,24/1/2019,31/12/2018,Income Distribution,12/2/2019,28/2/2019,0.021,Currency,5130,2018
255,25/10/2018,31/12/2018,Income Distribution,9/11/2018,30/11/2018,0.02,Currency,5130,2018
256,25/7/2018,31/12/2018,Income Distribution,10/8/2018,30/8/2018,0.02,Currency,5130,2018
257,10/5/2018,31/12/2018,Income Distribution,14/5/2018,31/5/2018,0.02,Currency,5130,2018
258,30/4/2018,31/3/2018,Interim Dividend,14/5/2018,25/5/2018,0.02,Currency,7099,2018
259,16/10/2017,31/3/2018,Interim Dividend,5/12/2017,3/1/2018,0.05,Currency,7099,2018
260,29/8/2018,31/12/2018,Interim Dividend,14/9/2018,17/10/2018,0.002,Currency,5204,2018
261,15/5/2018,31/12/2018,Interim Dividend,4/6/2018,4/7/2018,0.005,Currency,5204,2018
262,25/10/2022,30/6/2022,Final Dividend,12/12/2022,30/12/2022,0.015,Currency,7579,2022
263,24/2/2022,30/6/2022,First Interim Dividend,22/3/2022,5/4/2022,0.005,Currency,7579,2022
264,25/10/2021,30/6/2021,Final Dividend,10/12/2021,31/12/2021,0.01,Currency,7579,2021
265,25/2/2021,30/6/2021,First Interim Dividend,19/3/2021,31/3/2021,0.005,Currency,7579,2021
