,Announced,Financial Year,Subject,EX Date,Payment Date,Amount,Indicator,Stock Code,Year
2197,28/4/2022,31/12/2021,First and Final Dividend,29/6/2022,15/7/2022,0.005,Currency,3514,2021
2198,29/6/2020,31/12/2019,First and Final Dividend,14/9/2020,8/10/2020,0.003,Currency,3514,2019
2199,29/4/2019,31/12/2018,First and Final Dividend,27/6/2019,16/7/2019,0.003,Currency,3514,2018
2200,24/8/2022,31/12/2022,Second Interim Dividend,15/9/2022,12/10/2022,0.06,Currency,7029,2022
2201,21/3/2022,31/12/2022,Interim Dividend,5/4/2022,25/4/2022,0.04,Currency,7029,2022
2202,2/12/2021,31/12/2021,Interim Dividend,6/12/2021,21/12/2021,0.02,Currency,7029,2021
2203,1/4/2021,31/12/2021,Interim Dividend,21/4/2021,10/5/2021,0.02,Currency,7029,2021
2204,28/12/2020,31/12/2020,Special Dividend,14/1/2021,5/2/2021,0.02,Currency,7029,2020
2205,27/5/2020,31/12/2020,Interim Dividend,10/6/2020,24/6/2020,0.04,Currency,7029,2020
2206,27/3/2019,31/12/2019,Interim Dividend,18/4/2019,10/5/2019,0.02,Currency,7029,2019
2207,5/4/2018,31/12/2018,Interim Dividend,18/4/2018,8/5/2018,0.015,Currency,7029,2018
2208,21/10/2022,30/6/2022,First and Final Dividend,16/12/2022,9/1/2023,0.0022,Currency,189,2022
2209,25/10/2021,30/6/2021,First and Final Dividend,16/12/2021,7/1/2022,0.002,Currency,189,2021
2210,26/10/2020,30/6/2020,First and Final Dividend,17/12/2020,8/1/2021,0.0015,Currency,189,2020
2211,25/10/2019,30/6/2019,First and Final Dividend,17/12/2019,8/1/2020,0.0015,Currency,189,2019
2212,26/10/2018,30/6/2018,First and Final Dividend,14/12/2018,8/1/2019,0.002,Currency,189,2018
2213,21/10/2022,30/6/2022,First and Final Dividend,16/12/2022,9/1/2023,0.0022,Currency,5236,2022
2214,25/10/2021,30/6/2021,First and Final Dividend,16/12/2021,7/1/2022,0.002,Currency,5236,2021
2215,26/10/2020,30/6/2020,First and Final Dividend,17/12/2020,8/1/2021,0.0015,Currency,5236,2020
2216,25/10/2019,30/6/2019,First and Final Dividend,17/12/2019,8/1/2020,0.0015,Currency,5236,2019
2217,26/10/2018,30/6/2018,First and Final Dividend,14/12/2018,8/1/2019,0.002,Currency,5236,2018
2218,21/10/2022,30/6/2022,First and Final Dividend,16/12/2022,9/1/2023,0.0022,Currency,3019,2022
2219,25/10/2021,30/6/2021,First and Final Dividend,16/12/2021,7/1/2022,0.002,Currency,3019,2021
2220,26/10/2020,30/6/2020,First and Final Dividend,17/12/2020,8/1/2021,0.0015,Currency,3019,2020
2221,25/10/2019,30/6/2019,First and Final Dividend,17/12/2019,8/1/2020,0.0015,Currency,3019,2019
2222,26/10/2018,30/6/2018,First and Final Dividend,14/12/2018,8/1/2019,0.002,Currency,3019,2018
2223,26/10/2022,31/12/2022,Interim Dividend,10/11/2022,18/11/2022,0.01,Currency,4022,2022
2224,12/10/2021,31/12/2021,Interim Dividend,29/10/2021,12/11/2021,0.01,Currency,4022,2021
2225,4/11/2022,31/12/2022,Third Interim Dividend,29/11/2022,22/12/2022,0.05,Currency,6012,2022
2226,28/7/2022,31/12/2022,Second Interim Dividend,29/8/2022,30/9/2022,0.05,Currency,6012,2022
2227,28/4/2022,31/12/2022,First Interim Dividend,30/5/2022,30/6/2022,0.05,Currency,6012,2022
2228,24/2/2022,31/12/2021,Fourth Interim Dividend,14/3/2022,31/3/2022,0.05,Currency,6012,2021
2229,29/10/2021,31/12/2021,Third Interim Dividend,30/11/2021,30/12/2021,0.04,Currency,6012,2021
2230,30/7/2021,31/12/2021,Second Interim Dividend,2/9/2021,30/9/2021,0.04,Currency,6012,2021
2231,23/4/2021,31/12/2021,First Interim Dividend,28/5/2021,30/6/2021,0.04,Currency,6012,2021
2232,26/2/2021,31/12/2020,Fourth Interim Dividend,12/3/2021,31/3/2021,0.05,Currency,6012,2020
2233,23/10/2020,31/12/2020,Third Interim Dividend,27/11/2020,23/12/2020,0.04,Currency,6012,2020
2234,23/7/2020,31/12/2020,Second Interim Dividend,27/8/2020,24/9/2020,0.04,Currency,6012,2020
2235,24/4/2020,31/12/2020,First Interim Dividend,28/5/2020,25/6/2020,0.04,Currency,6012,2020
2236,20/2/2020,31/12/2019,Fourth Interim Dividend,17/3/2020,16/4/2020,0.05,Currency,6012,2019
2237,25/10/2019,31/12/2019,Interim Dividend,28/11/2019,27/12/2019,0.05,Currency,6012,2019
2238,2/8/2019,31/12/2019,Interim Dividend,29/8/2019,26/9/2019,0.05,Currency,6012,2019
2239,29/4/2019,31/12/2019,Interim Dividend,30/5/2019,27/6/2019,0.05,Currency,6012,2019
2240,15/2/2019,31/12/2018,Interim Dividend,28/2/2019,28/3/2019,0.05,Currency,6012,2018
2241,18/10/2018,31/12/2018,Interim Dividend,28/11/2018,27/12/2018,0.05,Currency,6012,2018
2242,18/7/2018,31/12/2018,Interim Dividend,28/8/2018,27/9/2018,0.05,Currency,6012,2018
2243,19/4/2018,31/12/2018,Interim Dividend,28/5/2018,28/6/2018,0.05,Currency,6012,2018
2244,25/8/2022,31/12/2022,First Interim Dividend,8/9/2022,30/9/2022,0.06,Currency,5983,2022
2245,25/8/2022,31/12/2022,Special Dividend,8/9/2022,30/9/2022,0.1,Currency,5983,2022
2246,28/4/2022,31/12/2021,Final Dividend,15/6/2022,30/6/2022,0.06,Currency,5983,2021
2247,25/2/2022,31/12/2021,Special Dividend,11/3/2022,30/3/2022,0.1,Currency,5983,2021
2248,25/2/2022,31/12/2021,Second Interim Dividend,11/3/2022,30/3/2022,0.05,Currency,5983,2021
2249,25/8/2021,31/12/2021,First Interim Dividend,9/9/2021,29/9/2021,0.05,Currency,5983,2021
2250,28/4/2021,31/12/2020,Final Dividend,15/6/2021,30/6/2021,0.09,Currency,5983,2020
2251,25/2/2021,31/12/2020,Second Interim Dividend,11/3/2021,30/3/2021,0.06,Currency,5983,2020
2252,19/8/2020,31/12/2020,First Interim Dividend,4/9/2020,25/9/2020,0.05,Currency,5983,2020
2253,21/5/2020,31/12/2019,Final Dividend,9/7/2020,28/7/2020,0.09,Currency,5983,2019
2254,26/2/2020,31/12/2019,Second Interim Dividend,11/3/2020,30/3/2020,0.07,Currency,5983,2019
2255,20/8/2019,31/12/2019,First Interim Dividend,4/9/2019,19/9/2019,0.06,Currency,5983,2019
2256,29/4/2019,31/12/2018,Final Dividend,13/6/2019,28/6/2019,0.06,Currency,5983,2018
2257,24/1/2019,31/12/2018,Second interim dividend,11/2/2019,25/2/2019,0.03,Currency,5983,2018
2258,4/9/2018,31/12/2018,First Interim Dividend,19/9/2018,5/10/2018,0.03,Currency,5983,2018
2259,26/5/2022,31/3/2022,Interim Dividend,17/6/2022,8/7/2022,0.0063,Currency,5090,2022
2260,27/5/2021,31/3/2021,Interim Dividend,18/6/2021,8/7/2021,0.0042,Currency,5090,2021
2261,24/6/2020,31/3/2020,Interim Dividend,10/7/2020,30/7/2020,0.0041,Currency,5090,2020
2262,25/11/2019,31/3/2020,Interim Dividend,9/12/2019,30/12/2019,0.0067,Currency,5090,2020
2263,28/5/2019,31/3/2019,Interim Dividend,19/6/2019,12/7/2019,0.0041,Currency,5090,2019
2264,29/11/2018,31/3/2019,Interim Dividend,12/12/2018,28/12/2018,0.0072,Currency,5090,2019
2265,30/5/2018,31/3/2018,Interim Dividend,18/6/2018,13/7/2018,0.0074,Currency,5090,2018
2266,28/11/2017,31/3/2018,Interim Dividend,11/12/2017,29/12/2017,0.0107,Currency,5090,2018
2267,23/2/2022,31/12/2021,First and Final Dividend,29/4/2022,20/5/2022,0.015,Currency,4502,2021
2268,19/9/2022,31/12/2022,Interim Dividend,3/10/2022,14/10/2022,0.036,Currency,3069,2022
2269,23/3/2022,31/12/2021,Final Dividend,6/4/2022,18/4/2022,0.035,Currency,3069,2021
2270,21/9/2021,31/12/2021,Interim Dividend,7/10/2021,15/10/2021,0.0325,Currency,3069,2021
2271,25/3/2021,31/12/2020,Final Dividend,7/4/2021,19/4/2021,0.065,Currency,3069,2020
2272,10/11/2020,31/12/2020,Interim Dividend,24/11/2020,2/12/2020,0.06,Currency,3069,2020
