,div_announced_year,div_ex_date,div_dividend(RM),div_stock_code,div_year,div_status,stock_close,dividend_y_%
587,2018-11-29,2018-12-12,0.4,5099,2018,Y,0.927,43.15
588,2018-11-26,2018-12-12,0.0125,5081,2019,Y,0.507,2.465
589,2018-11-27,2018-12-12,0.021,5121,2018,Y,0.852,2.465
590,2018-10-24,2018-12-12,0.03,5271,2018,Y,0.153,19.608
591,2018-10-16,2018-12-12,0.01,2453,2018,Y,3.66,0.273
592,2018-11-29,2018-12-12,0.025,7052,2019,Y,3.478,0.719
593,2018-10-30,2018-12-12,0.0025,5239,2018,Y,0.303,0.825
594,2018-11-28,2018-12-12,0.005,7204,2018,Y,0.756,0.661
595,2018-11-29,2018-12-12,0.005,7107,2019,Y,0.626,0.799
596,2018-11-26,2018-12-12,0.02,0012,2018,Y,0.729,2.743
597,2018-11-23,2018-12-12,0.02,5032,2018,Y,4.127,0.485
598,2018-10-16,2018-12-12,0.02,2569,2018,Y,2.982,0.671
599,2018-10-16,2018-12-12,0.04,2569,2018,Y,2.982,1.341
600,2018-11-29,2018-12-12,0.0072,5090,2019,Y,0.155,4.645
601,2018-10-16,2018-12-12,0.001,2186,2018,Y,1.707,0.059
602,2018-11-30,2018-12-13,0.18,6033,2018,Y,16.26,1.107
603,2018-11-29,2018-12-13,0.0135,5127,2018,Y,0.633,2.133
604,2018-12-03,2018-12-13,0.015,7167,2018,Y,0.895,1.676
605,2018-11-07,2018-12-13,0.0325,7214,2018,Y,0.445,7.303
606,2018-11-29,2018-12-13,0.03,2038,2018,Y,2.971,1.01
607,2018-11-27,2018-12-13,0.04,3859,2018,Y,1.668,2.398
608,2018-11-30,2018-12-13,0.015,2771,2018,Y,1.44,1.042
609,2018-11-29,2018-12-13,0.015,7047,2019,Y,0.315,4.762
610,2018-11-22,2018-12-13,0.05,1015,2019,Y,4.004,1.249
611,2018-11-29,2018-12-14,0.017,7237,2019,Y,1.09,1.56
612,2018-11-29,2018-12-14,0.085,2488,2019,Y,3.447,2.466
613,2018-11-26,2018-12-14,0.01,0083,2018,Y,0.412,2.427
614,2018-12-03,2018-12-14,0.02,5226,2018,Y,0.764,2.618
615,2018-09-12,2018-12-14,0.015,5020,2018,Y,0.338,4.438
616,2018-11-30,2018-12-14,0.005,0127,2018,Y,0.948,0.527
617,2018-11-30,2018-12-14,0.01,0049,2018,Y,0.438,2.283
618,2018-10-26,2018-12-14,0.002,0189,2018,Y,0.065,3.077
619,2018-11-16,2018-12-14,0.05,7152,2018,Y,0.321,15.576
620,2018-11-30,2018-12-17,0.0193,5116,2018,Y,1.005,1.92
621,2018-12-04,2018-12-17,0.02,3379,2019,Y,0.605,3.306
622,2018-11-30,2018-12-17,0.02,5024,2018,Y,0.802,2.494
623,2018-11-30,2018-12-17,0.01,5269,2018,Y,0.679,1.473
624,2018-11-26,2018-12-18,0.016,0166,2019,Y,1.445,1.107
625,2018-12-05,2018-12-18,0.025,6399,2019,Y,0.997,2.508
626,2018-11-27,2018-12-18,0.01,7207,2019,Y,0.5,2.0
627,2018-10-30,2018-12-19,0.02,5159,2018,Y,0.834,2.398
628,2018-11-14,2018-12-19,0.0325,5236,2019,Y,1.022,3.18
629,2018-11-28,2018-12-19,0.0175,5041,2018,Y,0.917,1.908
630,2018-12-10,2018-12-20,0.05,5185,2018,Y,1.861,2.687
631,2018-12-07,2018-12-20,0.008,5066,2019,Y,0.435,1.839
632,2018-12-10,2018-12-21,0.005,5216,2019,Y,0.193,2.591
633,2018-11-30,2018-12-21,0.035,6114,2018,Y,1.017,3.441
634,2018-11-26,2018-12-21,0.0025,0040,2018,Y,0.162,1.543
635,2018-11-15,2018-12-24,0.02,7811,2019,Y,0.636,3.145
636,2018-12-11,2018-12-24,0.15,6139,2018,Y,3.341,4.49
637,2018-12-12,2018-12-26,0.02,7087,2019,Y,1.179,1.696
638,2018-10-26,2018-12-26,0.015,7246,2018,Y,0.367,4.087
639,2018-11-26,2018-12-26,0.15,3719,2019,Y,30.664,0.489
640,2018-12-12,2018-12-26,0.004,03006,2018,Y,0.196,2.041
641,2018-09-24,2018-12-26,0.12,9598,2018,Y,1.846,6.501
642,2018-09-20,2018-12-26,0.1,4731,2018,Y,2.75,3.636
643,2018-12-12,2018-12-26,0.03,7087,2019,Y,1.179,2.545
644,2018-12-07,2018-12-27,0.028,0820EA,2018,Y,1.78,1.573
645,2018-11-28,2018-12-27,0.04,9148,2018,Y,1.964,2.037
646,2018-12-13,2018-12-27,0.005,7247,2019,Y,0.153,3.268
647,2018-10-24,2018-12-27,0.005,5125,2019,Y,0.347,1.441
648,2018-12-12,2018-12-27,0.0375,5248,2019,Y,1.792,2.093
649,2018-11-26,2018-12-27,0.012,8524,2018,Y,0.579,2.073
650,2018-11-14,2018-12-27,0.005,8966,2018,Y,0.366,1.366
651,2018-12-13,2018-12-27,0.155,5258,2018,Y,3.013,5.144
652,2018-10-29,2018-12-27,0.01,8877,2018,Y,0.425,2.353
653,2018-12-03,2018-12-27,0.0175,0097,2018,Y,3.047,0.574
654,2018-12-11,2018-12-27,0.07,7100,2018,Y,1.99,3.518
655,2018-11-23,2018-12-27,0.017,0158,2018,Y,0.436,3.899
656,2018-12-07,2018-12-27,0.0465,0800EA,2018,Y,1.186,3.921
657,2018-11-19,2018-12-28,0.01,5029,2018,Y,2.527,0.396
658,2018-10-22,2018-12-31,0.035,7222,2018,Y,2.14,1.636
659,2018-11-16,2019-01-02,0.005,5072,2018,Y,0.207,2.415
660,2018-12-12,2019-01-02,0.0115,7235,2019,Y,1.019,1.129
661,2018-12-17,2019-01-02,0.02,2542,2018,Y,2.559,0.782
662,2018-11-27,2019-01-02,0.01,7803,2018,Y,0.144,6.944
663,2018-12-17,2019-01-03,0.01,2062,2019,Y,0.642,1.558
664,2018-12-14,2019-01-03,0.06,5398,2019,Y,1.929,3.11
665,2018-12-19,2019-01-04,0.015,3204,2019,Y,0.727,2.063
666,2018-12-24,2019-01-07,0.0125,7082,2019,Y,0.213,5.869
667,2018-12-05,2019-01-07,0.01,5196,2019,Y,0.263,3.802
668,2018-11-30,2019-01-08,0.16,2836,2018,Y,17.281,0.926
669,2018-12-20,2019-01-08,0.01,6009,2019,Y,0.72,1.389
670,2018-11-12,2019-01-09,0.05,7113,2018,Y,1.393,3.589
671,2018-12-26,2019-01-10,0.018,7053,2019,Y,0.898,2.004
672,2018-11-21,2019-01-10,0.005,8931,2018,Y,0.355,1.408
673,2018-12-26,2019-01-11,0.015,7134,2018,Y,0.64,2.344
674,2018-12-17,2019-01-14,0.02,2593,2019,Y,4.909,0.407
675,2018-11-29,2019-01-14,0.006,6963,2018,Y,0.364,1.648
676,2018-12-27,2019-01-14,0.03,7129,2019,Y,2.498,1.201
677,2018-10-24,2019-01-15,0.06,9334,2018,Y,8.545,0.702
678,2019-01-03,2019-01-15,0.0025,0186,2019,Y,0.607,0.412
679,2018-11-13,2019-01-16,0.035,5228,2019,Y,1.025,3.415
680,2019-01-04,2019-01-16,0.03,7153,2018,Y,1.497,2.004
681,2018-12-14,2019-01-16,0.04,1562,2019,Y,1.79,2.235
682,2019-01-04,2019-01-18,0.02,1929,2019,Y,6.133,0.326
683,2019-01-04,2019-01-18,0.08,1929,2019,Y,6.133,1.304
