,stock_name,stock_code
531,MEDIA CHINESE INTERNATIONAL LIMITED,5090.KL
532,MEDIA PRIMA BERHAD,4502.KL
533,MEGA FIRST CORPORATION BERHAD,3069.KL
534,MEGA SUN CITY HOLDINGS BERHAD,0081.KL
535,MELATI EHSAN HOLDINGS BERHAD,5129.KL
536,MELEWAR INDUSTRIAL GROUP BERHAD,3778.KL
537,MENANG CORPORATION (M) BERHAD,1694.KL
538,MENTIGA CORPORATION BERHAD,5223.KL
539,MERCURY INDUSTRIES BERHAD,8192.KL
540,MERIDIAN BERHAD,5040.KL
541,MESB BERHAD,7234.KL
542,MESINIAGA BERHAD,5011.KL
543,MESTRON HOLDINGS BERHAD,0207.KL
544,METRO HEALTHCARE BERHAD,03005.KL
545,METROD HOLDINGS BERHAD,6149.KL
546,METRONIC GLOBAL BERHAD,0043.KL
547,MGB BERHAD,7595.KL
548,MHC PLANTATIONS BHD,5026.KL
549,MI TECHNOVATION BERHAD,5286.KL
550,MICROLINK SOLUTIONS BERHAD,0126.KL
551,MIECO CHIPBOARD BERHAD,5001.KL
552,MIKRO MSC BERHAD,0112.KL
553,MILUX CORPORATION BERHAD,7935.KL
554,MINDA GLOBAL BERHAD,5166.KL
555,MINETECH RESOURCES BERHAD,7219.KL
556,MINHO (M) BERHAD,5576.KL
557,MISC BERHAD,3816.KL
558,MITRAJAYA HOLDINGS BERHAD,9571.KL
559,MK LAND HOLDINGS BERHAD,8893.KL
560,MKH BERHAD,6114.KL
561,MLABS SYSTEMS BERHAD,0085.KL
562,MMAG HOLDINGS BERHAD,0034.KL
563,MMIS BERHAD,03027.KL
564,MMS VENTURES BERHAD,0113.KL
565,MN HOLDINGS BERHAD,0245.KL
566,MNRB HOLDINGS BERHAD,6459.KL
567,MOBILIA HOLDINGS BERHAD,0229.KL
568,MPHB CAPITAL BERHAD,5237.KL
569,MQ TECHNOLOGY BERHAD,0070.KL
570,MR D.I.Y. GROUP (M) BERHAD,5296.KL
571,MSM MALAYSIA HOLDINGS BERHAD,5202.KL
572,MTAG GROUP BERHAD,0213.KL
573,MTOUCHE TECHNOLOGY BERHAD,0092.KL
574,MUAR BAN LEE GROUP BERHAD,5152.KL
575,MUDA HOLDINGS BERHAD,3883.KL
576,MUDAJAYA GROUP BERHAD,5085.KL
577,MUHIBBAH ENGINEERING (M) BHD,5703.KL
578,MUI PROPERTIES BERHAD,3913.KL
579,MULPHA INTERNATIONAL BERHAD,3905.KL
580,MULTI-USAGE HOLDINGS BERHAD,9539.KL
581,MY E.G. SERVICES BERHAD,0138.KL
582,MYCRON STEEL BERHAD,5087.KL
583,MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25,0821EA.KL
584,MYETF DOW JONES U.S. TITANS 50,0827EA.KL
585,MYETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA.KL
586,MYETF MSCI SEA ISLAMIC DIVIDEND,0825EA.KL
587,MYNEWS HOLDINGS BERHAD,5275.KL
588,MYTECH GROUP BERHAD,7692.KL
589,N2N CONNECT BERHAD,0108.KL
590,NAIM HOLDINGS BERHAD,5073.KL
591,NCT ALLIANCE BERHAD,0056.KL
592,NEGRI SEMBILAN OIL PALMS BERHAD,2038.KL
593,NESTCON BERHAD,0235.KL
594,NESTLE (MALAYSIA) BERHAD,4707.KL
595,NETX HOLDINGS BERHAD,0020.KL
596,NEW HOONG FATT HOLDINGS BERHAD,7060.KL
597,NEXGRAM HOLDINGS BERHAD,0096.KL
598,NEXTGREEN GLOBAL BERHAD,7241.KL
599,NI HSIN GROUP BERHAD,7215.KL
600,NICHE CAPITAL EMAS HOLDINGS BERHAD,7139.KL
601,NOTION VTEC BERHAD,0083.KL
602,NOVA MSC BERHAD,0026.KL
603,NOVA PHARMA SOLUTIONS BERHAD,03006.KL
604,NOVA WELLNESS GROUP BERHAD,0201.KL
605,NOVELPLUS TECHNOLOGY BERHAD,03045.KL
606,NPC RESOURCES BERHAD,5047.KL
607,NTPM HOLDINGS BERHAD,5066.KL
608,NWP HOLDINGS BERHAD,5025.KL
609,NYLEX (MALAYSIA) BERHAD,4944.KL
610,OCB BERHAD,5533.KL
611,OCEAN VANTAGE HOLDINGS BERHAD,0220.KL
612,OCEANCASH PACIFIC BERHAD,0049.KL
613,OCK GROUP BERHAD,0172.KL
614,OCR GROUP BERHAD,7071.KL
615,OKA CORPORATION BHD,7140.KL
616,OLYMPIA INDUSTRIES BERHAD,3018.KL
617,OM HOLDINGS LIMITED,5298.KL
618,OMESTI BERHAD,9008.KL
619,ONETECH SOLUTIONS HOLDINGS BERHAD,03041.KL
620,ONLY WORLD GROUP HOLDINGS BERHAD,5260.KL
621,OPCOM HOLDINGS BERHAD,0035.KL
622,OPENSYS (M) BERHAD,0040.KL
623,OPTIMAX HOLDINGS BERHAD,0222.KL
624,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,7107.KL
625,ORIENTAL HOLDINGS BERHAD,4006.KL
626,ORIENTAL INTEREST BERHAD,5827.KL
627,ORNAPAPER BERHAD,5065.KL
628,OSK HOLDINGS BERHAD,5053.KL
629,OSK VENTURES INTERNATIONAL BERHAD,0053.KL
630,OVERSEA ENTERPRISE BERHAD,0153.KL
631,P.A. RESOURCES BERHAD,7225.KL
632,P.I.E. INDUSTRIAL BERHAD,7095.KL
633,PACIFIC & ORIENT BERHAD,6009.KL
634,PADINI HOLDINGS BERHAD,7052.KL
635,PAN MALAYSIA CORPORATION BERHAD,4081.KL
636,PAN MALAYSIA HOLDINGS BERHAD,1287.KL
637,PANASONIC MANUFACTURING MALAYSIA BERHAD,3719.KL
638,PANSAR BERHAD,8419.KL
639,PANTECH GROUP HOLDINGS BERHAD,5125.KL
640,PAOS HOLDINGS BERHAD,5022.KL
641,PAPPAJACK BERHAD,0242.KL
642,PARAGON GLOBE BERHAD,3611.KL
643,PARAGON UNION BERHAD,9407.KL
644,PARAMOUNT CORPORATION BERHAD,1724.KL
645,PARKSON HOLDINGS BERHAD,5657.KL
646,PARKWOOD HOLDINGS BERHAD,2682.KL
647,PARLO BERHAD,0022.KL
648,PASDEC HOLDINGS BERHAD,6912.KL
649,PASUKHAS GROUP BERHAD,0177.KL
650,PAVILION REAL ESTATE INVESTMENT TRUST,5212.KL
651,PBA HOLDINGS BHD,5041.KL
652,PCCS GROUP BERHAD,6068.KL
653,PDZ HOLDINGS BHD,6254.KL
654,PECCA GROUP BERHAD,5271.KL
655,PEGASUS HEIGHTS BERHAD,4464.KL
656,PEKAT GROUP BERHAD,0233.KL
657,PELIKAN INTERNATIONAL CORPORATION BERHAD,5231.KL
658,PENSONIC HOLDINGS BERHAD,9997.KL
659,PENTAMASTER CORPORATION BERHAD,7160.KL
660,PERAK CORPORATION BERHAD,8346.KL
661,PERAK TRANSIT BERHAD,0186.KL
662,PERDANA PETROLEUM BERHAD,7108.KL
663,PERMAJU INDUSTRIES BERHAD,7080.KL
664,PERTAMA DIGITAL BERHAD,8532.KL
665,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,5436.KL
666,PESONA METRO HOLDINGS BERHAD,8311.KL
667,PESTECH INTERNATIONAL BERHAD,5219.KL
668,PETERLABS HOLDINGS BERHAD,0171.KL
669,PETRA ENERGY BERHAD,5133.KL
670,PETRON MALAYSIA REFINING & MARKETING BHD,3042.KL
671,PETRONAS CHEMICALS GROUP BERHAD,5183.KL
672,PETRONAS DAGANGAN BHD,5681.KL
673,PETRONAS GAS BERHAD,6033.KL
674,PGF CAPITAL BERHAD,8117.KL
675,PHARMANIAGA BERHAD,7081.KL
676,PIMPINAN EHSAN BERHAD,5622.KL
677,PINEAPPLE RESOURCES BERHAD,0006.KL
678,PINEHILL PACIFIC BERHAD,1902.KL
679,PINTARAS JAYA BHD,9598.KL
680,PJBUMI BERHAD,7163.KL
681,PLB ENGINEERING BERHAD,7055.KL
682,PLENITUDE BERHAD,5075.KL
683,PLS PLANTATIONS BERHAD,9695.KL
684,PMB TECHNOLOGY BERHAD,7172.KL
685,PNE PCB BERHAD,6637.KL
686,POH HUAT RESOURCES HOLDINGS BERHAD,7088.KL
687,POH KONG HOLDINGS BERHAD,5080.KL
688,POLYDAMIC GROUP BERHAD,03031.KL
689,POS MALAYSIA BERHAD,4634.KL
690,POWER ROOT BERHAD,7237.KL
691,POWERWELL HOLDINGS BERHAD,0217.KL
692,PPB GROUP BERHAD,4065.KL
693,PRESS METAL ALUMINIUM HOLDINGS BERHAD,8869.KL
694,PRESTAR RESOURCES BERHAD,9873.KL
695,PRG HOLDINGS BERHAD,7168.KL
696,PRICEWORTH INTERNATIONAL BERHAD,7123.KL
697,PRINCIPAL FTSE ASEAN 40 MALAYSIA ETF,0822EA.KL
698,PRINCIPAL FTSE CHINA 50 ETF,0823EA.KL
699,PRIVASIA TECHNOLOGY BERHAD,0123.KL
700,PROGRESSIVE IMPACT CORPORATION BERHAD,7201.KL
701,PROLEXUS BERHAD,8966.KL
702,PROPEL GLOBAL BERHAD,0091.KL
703,PROTASCO BERHAD,5070.KL
704,PTT SYNERGY GROUP BERHAD,7010.KL
705,PUBLIC BANK BERHAD,1295.KL
706,PUBLIC PACKAGES HOLDINGS BHD,8273.KL
707,PUC BERHAD,0007.KL
708,PUNCAK NIAGA HOLDINGS BERHAD,6807.KL
709,PWF CORPORATION BERHAD,7134.KL
710,QES GROUP BERHAD,0196.KL
711,QL RESOURCES BERHAD,7084.KL
712,QUALITY CONCRETE HOLDINGS BERHAD,7544.KL
713,RADIANT GLOBALTECH BERHAD,0202.KL
714,RALCO CORPORATION BERHAD,7498.KL
715,RAMSSOL GROUP BERHAD,0236.KL
716,RANHILL UTILITIES BERHAD,5272.KL
717,RAPID SYNERGY BERHAD,7765.KL
718,RAY GO SOLAR HOLDINGS BERHAD,03052.KL
719,RCE CAPITAL BERHAD,9296.KL
720,REACH ENERGY BERHAD,5256.KL
721,RED IDEAS HOLDINGS BERHAD,03002.KL
722,RED SENA BERHAD,5270.KL
723,REDPLANET BERHAD,03036.KL
724,REDTONE DIGITAL BERHAD,0032.KL
725,RESERVOIR LINK ENERGY BHD,0219.KL
726,RESINTECH BERHAD,7232.KL
727,REVENUE GROUP BERHAD,0200.KL
728,REX INDUSTRY BERHAD,9946.KL
729,REXIT BERHAD,0106.KL
730,RGB INTERNATIONAL BHD,0037.KL
731,RGT BERHAD,9954.KL
732,RHB BANK BERHAD,1066.KL
733,RHONE MA HOLDINGS BERHAD,5278.KL
734,RHONG KHEN INTERNATIONAL BERHAD,7006.KL
735,RIMBUNAN SAWIT BERHAD,5113.KL
736,RIVERVIEW RUBBER ESTATES BERHAD,2542.KL
737,ROHAS TECNIC BERHAD,9741.KL
738,RTS TECHNOLOGY HOLDINGS BERHAD,03039.KL
739,RUBBEREX CORPORATION (M) BERHAD,7803.KL
740,S & F CAPITAL BERHAD,8745.KL
741,S P SETIA BERHAD,8664.KL
742,SALCON BERHAD,8567.KL
743,SALUTICA BERHAD,0183.KL
744,SAM ENGINEERING & EQUIPMENT (M) BERHAD,9822.KL
745,SAMAIDEN GROUP BERHAD,0223.KL
746,SAMCHEM HOLDINGS BERHAD,5147.KL
747,SAND NISKO CAPITAL BERHAD,7943.KL
748,SANICHI TECHNOLOGY BERHAD,0133.KL
749,SAPURA ENERGY BERHAD,5218.KL
750,SAPURA INDUSTRIAL BERHAD,7811.KL
751,SAPURA RESOURCES BERHAD,4596.KL
752,SARAWAK CABLE BERHAD,5170.KL
753,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,9237.KL
754,SARAWAK OIL PALMS BERHAD,5126.KL
755,SARAWAK PLANTATION BERHAD,5135.KL
756,SASBADI HOLDINGS BERHAD,5252.KL
757,SAUDEE GROUP BERHAD,5157.KL
758,SBC CORPORATION BERHAD,5207.KL
759,SC ESTATE BUILDER BERHAD,0109.KL
760,SCANWOLF CORPORATION BERHAD,7239.KL
761,SCC HOLDINGS BERHAD,0158.KL
762,SCGM BHD,7247.KL
763,SCICOM (MSC) BERHAD,0099.KL
764,SCIENTEX BERHAD,4731.KL
765,SCIENTEX PACKAGING (AYER KEROH) BERHAD,8125.KL
766,SCOMI ENERGY SERVICES BHD,7045.KL
767,SCOMI GROUP BERHAD,7158.KL
768,SCOPE INDUSTRIES BERHAD,0028.KL
769,SDS GROUP BERHAD,0212.KL
770,SEACERA GROUP BERHAD,7073.KL
771,SEAL INCORPORATED BERHAD,4286.KL
772,SEALINK INTERNATIONAL BERHAD,5145.KL
773,SECUREMETRIC BERHAD,0203.KL
774,SEDANIA INNOVATOR BERHAD,0178.KL
775,SEE HUP CONSOLIDATED BERHAD,7053.KL
776,SEG INTERNATIONAL BHD,9792.KL
777,SELANGOR DREDGING BERHAD,2224.KL
778,SENHENG NEW RETAIL BERHAD,5305.KL
779,SENI JAYA CORPORATION BERHAD,9431.KL
780,SENTORIA GROUP BERHAD,5213.KL
781,SENTRAL REIT,5123.KL
782,SERBA DINAMIK HOLDINGS BERHAD,5279.KL
783,SEREMBAN ENGINEERING BERHAD,5163.KL
784,SERN KOU RESOURCES BERHAD,7180.KL
785,SERSOL BERHAD,0055.KL
786,SFP TECH HOLDINGS BERHAD,0251.KL
787,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,5517.KL
788,SHH RESOURCES HOLDINGS BERHAD,7412.KL
789,SHIN YANG SHIPPING CORPORATION BERHAD,5173.KL
790,SHL CONSOLIDATED BHD,6017.KL
791,SIAB HOLDINGS BERHAD,0241.KL
792,SIGNATURE INTERNATIONAL BERHAD,7246.KL
793,SILVER RIDGE HOLDINGS BHD,0129.KL
794,SIME DARBY BERHAD,4197.KL
795,SIME DARBY PLANTATION BERHAD,5285.KL
796,SIME DARBY PROPERTY BERHAD,5288.KL
797,SIN HENG CHAN (MALAYA) BERHAD,4316.KL
798,SINARAN ADVANCE GROUP BERHAD,5172.KL
799,SINMAH CAPITAL BERHAD,9776.KL
800,SKB SHUTTERS CORPORATION BERHAD,7115.KL
801,SKP RESOURCES BHD,7155.KL
802,SL INNOVATION CAPITAL BERHAD,03008.KL
803,SLP RESOURCES BERHAD,7248.KL
804,SMILE-LINK HEALTHCARE GLOBAL BERHAD,03023.KL
805,SMIS CORPORATION BERHAD,7132.KL
806,SMRT HOLDINGS BERHAD,0117.KL
807,SMTRACK BERHAD,0169.KL
808,SNOWFIT GROUP BERHAD,03054.KL
809,SOLARVEST HOLDINGS BERHAD,0215.KL
810,SOLID AUTOMOTIVE BERHAD,5242.KL
811,SOLUTION GROUP BERHAD,0093.KL
812,SOUTH MALAYSIA INDUSTRIES BERHAD,4375.KL
813,SOUTHERN ACIDS (M) BERHAD,5134.KL
814,SOUTHERN CABLE GROUP BERHAD,0225.KL
815,SOUTHERN STEEL BERHAD,5665.KL
816,SPORTS TOTO BERHAD,1562.KL
817,SPRING ART HOLDINGS BERHAD,0216.KL
818,SPRITZER BHD,7103.KL
819,STAR MEDIA GROUP BERHAD,6084.KL
820,STEEL HAWK BERHAD,03049.KL
821,STELLA HOLDINGS BERHAD,5006.KL
822,STRAITS ENERGY RESOURCES BERHAD,0080.KL
823,SUBUR TIASA HOLDINGS BERHAD,6904.KL
824,SUCCESS TRANSFORMER CORPORATION BERHAD,7207.KL
825,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,2569.KL
826,SUNMOW HOLDING BERHAD,03050.KL
827,SUNSURIA BERHAD,3743.KL
828,SUNWAY BERHAD,5211.KL
829,SUNWAY CONSTRUCTION GROUP BERHAD,5263.KL
830,SUNWAY REAL ESTATE INVESTMENT TRUST,5176.KL
831,SUNZEN BIOTECH BERHAD,0148.KL
832,SUPERCOMNET TECHNOLOGIES BERHAD,0001.KL
833,SUPERGENICS BERHAD,03033.KL
834,SUPERLON HOLDINGS BERHAD,7235.KL
835,SUPERMAX CORPORATION BERHAD,7106.KL
836,SUPREME CONSOLIDATED RESOURCES BERHAD,03018.KL
837,SURIA CAPITAL HOLDINGS BERHAD,6521.KL
838,SWIFT HAULAGE BERHAD,5303.KL
839,SWS CAPITAL BERHAD,7186.KL
840,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,6139.KL
841,SYCAL VENTURES BERHAD,9717.KL
842,SYF RESOURCES BERHAD,7082.KL
843,SYMPHONY LIFE BERHAD,1538.KL
844,SYSTECH BHD,0050.KL
845,T7 GLOBAL BERHAD,7228.KL
846,TA ANN HOLDINGS BERHAD,5012.KL
847,TA WIN HOLDINGS BERHAD,7097.KL
848,TAFI INDUSTRIES BERHAD,7211.KL
849,TALAM TRANSFORM BERHAD,2259.KL
850,TALIWORKS CORPORATION BERHAD,8524.KL
851,TAMBUN INDAH LAND BERHAD,5191.KL
852,TAN CHONG MOTOR HOLDINGS BERHAD,4405.KL
853,TANCO HOLDINGS BERHAD,2429.KL
854,TAS OFFSHORE BERHAD,5149.KL
855,TASCO BERHAD,5140.KL
856,TASHIN HOLDINGS BERHAD,0211.KL
857,TCS GROUP HOLDINGS BERHAD,0221.KL
858,TDM BERHAD,2054.KL
859,TECHBOND GROUP BERHAD,5289.KL
860,TECHNA-X BERHAD,2739.KL
861,TECHNODEX BHD,0132.KL
862,TECK GUAN PERDANA BERHAD,7439.KL
863,TEK SENG HOLDINGS BERHAD,7200.KL
864,TELADAN SETIA GROUP BERHAD,0230.KL
865,TELEKOM MALAYSIA BERHAD,4863.KL
866,TENAGA NASIONAL BHD,5347.KL
867,TEO GUAN LEE CORPORATION BERHAD,9369.KL
868,TEO SENG CAPITAL BERHAD,7252.KL
869,TEX CYCLE TECHNOLOGY (M) BERHAD,0089.KL
870,TEXCHEM RESOURCES BERHAD,8702.KL
871,TFP SOLUTIONS BERHAD,0145.KL
872,TH PLANTATIONS BERHAD,5112.KL
873,THETA EDGE BERHAD,9075.KL
874,THONG GUAN INDUSTRIES BERHAD,7034.KL
875,THREE-A RESOURCES BERHAD,0012.KL
876,THRIVEN GLOBAL BERHAD,7889.KL
877,TIEN WAH PRESS HOLDINGS BERHAD,7374.KL
878,TIMBERWELL BERHAD,7854.KL
879,TIME DOTCOM BERHAD,5031.KL
880,TIONG NAM LOGISTICS HOLDINGS BERHAD,8397.KL
881,TITIJAYA LAND BERHAD,5239.KL
882,TMC LIFE SCIENCES BERHAD,0101.KL
883,TOMEI CONSOLIDATED BERHAD,7230.KL
884,TOMYPAK HOLDINGS BERHAD,7285.KL
885,TONG HERR RESOURCES BERHAD,5010.KL
886,TOP BUILDERS CAPITAL BERHAD,5268.KL
887,TOP GLOVE CORPORATION BHD,7113.KL
888,TOPVISION EYE SPECIALIST BERHAD,03013.KL
889,TOWER REAL ESTATE INVESTMENT TRUST,5111.KL
890,TOYO VENTURES HOLDINGS BERHAD,7173.KL
891,TPC PLUS BERHAD,7176.KL
892,TRADEPLUS DWA MALAYSIA MOMENTUM TRACKER,0836EA.KL
893,TRADEPLUS HSCEI DAILY (-1X) INVERSE TRACKER,0833EA.KL
894,TRADEPLUS HSCEI DAILY (2X) LEVERAGED TRACKER,0832EA.KL
895,TRADEPLUS MSCI ASIA EX JAPAN REITS TRACKER,0837EA.KL
896,TRADEPLUS NYSE FANG+ DAILY (-1X) INVERSE TRACKER,0831EA.KL
897,TRADEPLUS NYSE FANG+ DAILY (2X) LEVERAGED TRACKER,0830EA.KL
898,TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA.KL
899,TRADEPLUS S&P NEW CHINA TRACKER-USD,0829EB.KL
900,TRADEPLUS SHARIAH GOLD TRACKER,0828EA.KL
901,TRANSOCEAN HOLDINGS BHD,7218.KL
902,TRC SYNERGY BERHAD,5054.KL
903,TRI-MODE SYSTEM (M) BERHAD,0199.KL
904,TRIVE PROPERTY GROUP BERHAD,0118.KL
905,TROPICANA CORPORATION BERHAD,5401.KL
906,TSH RESOURCES BERHAD,9059.KL
907,TSR CAPITAL BERHAD,5042.KL
908,TUJU SETIA BERHAD,5297.KL
909,TUNE PROTECT GROUP BERHAD,5230.KL
910,TURBO-MECH BERHAD,5167.KL
911,TURIYA BERHAD,4359.KL
912,TWL HOLDINGS BERHAD,7079.KL
913,UCHI TECHNOLOGIES BERHAD,7100.KL
914,UCI RESOURCES BERHAD,03043.KL
915,UCREST BERHAD,0005.KL
916,UEM EDGENTA BERHAD,1368.KL
917,UEM SUNRISE BERHAD,5148.KL
918,UMS HOLDINGS BERHAD,7137.KL
919,UMS-NEIKEN GROUP BERHAD,7227.KL
920,UMW HOLDINGS BERHAD,4588.KL
921,UNI WALL APS HOLDINGS BERHAD,03017.KL
922,UNIMECH GROUP BERHAD,7091.KL
923,UNISEM (M) BERHAD,5005.KL
924,UNITED MALACCA BERHAD,2593.KL
925,UNITED PLANTATIONS BERHAD,2089.KL
926,UNITED U-LI CORPORATION BERHAD,7133.KL
927,UNITRADE INDUSTRIES BERHAD,0247.KL
928,UOA DEVELOPMENT BHD,5200.KL
929,UOA REAL ESTATE INVESTMENT TRUST,5110.KL
930,UPA CORPORATION BHD,7757.KL
931,UWC BERHAD,5292.KL
932,UZMA BERHAD,7250.KL
933,V.S. INDUSTRY BERHAD,6963.KL
934,VELESTO ENERGY BERHAD,5243.KL
935,VERSATILE CREATIVE BERHAD,4995.KL
936,VERTICE BERHAD,7240.KL
937,VINVEST CAPITAL HOLDINGS BERHAD,0069.KL
938,VISDYNAMICS HOLDINGS BERHAD,0120.KL
939,VITROX CORPORATION BERHAD,0097.KL
940,VIZIONE HOLDINGS BERHAD,7070.KL
941,VOLCANO BERHAD,0232.KL
942,VORTEX CONSOLIDATED BERHAD,0060.KL
943,VP-DJ SHARIAH CHINA A-SHARES 100 ETF - MYR,0838EA.KL
944,VSOLAR GROUP BERHAD,0066.KL
945,VSTECS BERHAD,5162.KL
946,WAH SEONG CORPORATION BERHAD,5142.KL
947,WAJA KONSORTIUM BERHAD,0102.KL
948,WANG-ZHENG BERHAD,7203.KL
949,WARISAN TC HOLDINGS BERHAD,5016.KL
950,WATTA HOLDING BERHAD,7226.KL
951,WCE HOLDINGS BERHAD,3565.KL
952,WCT HOLDINGS BERHAD,9679.KL
953,WEGMANS HOLDINGS BERHAD,0197.KL
954,WELLCALL HOLDINGS BERHAD,7231.KL
955,WESTPORTS HOLDINGS BERHAD,5246.KL
956,WHITE HORSE BERHAD,5009.KL
957,WIDAD GROUP BERHAD,0162.KL
958,WILLOWGLEN MSC BERHAD,0008.KL
959,WMG HOLDINGS BERHAD,6378.KL
960,WONG ENGINEERING CORPORATION BERHAD,7050.KL
961,WOODLANDOR HOLDINGS BHD,7025.KL
962,WTK HOLDINGS BERHAD,4243.KL
963,XIDELANG HOLDINGS LTD,5156.KL
964,XIN HWA HOLDINGS BERHAD,5267.KL
965,XL HOLDINGS BERHAD,7121.KL
966,XOX BHD,0165.KL
967,XOX NETWORKS BERHAD,0140.KL
968,XOX TECHNOLOGY BERHAD,0017.KL
969,Y&G CORPORATION BHD,7003.KL
970,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,7178.KL
971,YB VENTURES BERHAD,5048.KL
972,YBS INTERNATIONAL BERHAD,0025.KL
973,YENHER HOLDINGS BERHAD,5300.KL
974,YEW LEE PACIFIC GROUP BERHAD,0248.KL
975,YGL CONVERGENCE BERHAD,0086.KL
976,YINSON HOLDINGS BERHAD,7293.KL
977,YKGI HOLDINGS BERHAD,7020.KL
978,YLI HOLDINGS BERHAD,7014.KL
979,YNH PROPERTY BERHAD,3158.KL
980,YONG TAI BERHAD,7066.KL
981,YOONG ONN CORPORATION BERHAD,5159.KL
982,YTL CORPORATION BERHAD,4677.KL
983,YTL HOSPITALITY REIT,5109.KL
984,YTL POWER INTERNATIONAL BHD,6742.KL
985,YX PRECIOUS METALS BHD,0250.KL
986,ZECON BERHAD,7028.KL
987,ZELAN BERHAD,2283.KL
988,ZEN TECH INTERNATIONAL BERHAD,0094.KL
989,ZHULIAN CORPORATION BERHAD,5131.KL
