,stock_name,stock_code
121,C.I. HOLDINGS BERHAD,2828.KL
122,CAB CAKARAN CORPORATION BERHAD,7174.KL
123,CABNET HOLDINGS BERHAD,0191.KL
124,CAELY HOLDINGS BHD,7154.KL
125,CAHYA MATA SARAWAK BERHAD,2852.KL
126,CAM RESOURCES BERHAD,7128.KL
127,CAN-ONE BERHAD,5105.KL
128,CAPITAL A BERHAD,5099.KL
129,CAPITALAND MALAYSIA TRUST,5180.KL
130,CAREPLUS GROUP BERHAD,0163.KL
131,CARIMIN PETROLEUM BERHAD,5257.KL
132,CARLSBERG BREWERY MALAYSIA BERHAD,2836.KL
133,CARZO HOLDINGS BERHAD,03048.KL
134,CATCHA DIGITAL BERHAD,0173.KL
135,CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076.KL
136,CCK CONSOLIDATED HOLDINGS BERHAD,7035.KL
137,CE TECHNOLOGY BERHAD,03024.KL
138,CEKD BERHAD,0238.KL
139,CENGILD MEDICAL BERHAD,0243.KL
140,CENSOF HOLDINGS BERHAD,5195.KL
141,CENTRAL GLOBAL BERHAD,8052.KL
142,CEPATWAWASAN GROUP BERHAD,8982.KL
143,CHEETAH HOLDINGS BERHAD,7209.KL
144,CHIN HIN GROUP BERHAD,5273.KL
145,CHIN HIN GROUP PROPERTY BERHAD,7187.KL
146,CHIN TECK PLANTATIONS BERHAD,1929.KL
147,CHIN WELL HOLDINGS BERHAD,5007.KL
148,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,5229.KL
149,CHINA OUHUA WINERY HOLDINGS LIMITED,5188.KL
150,CHOO BEE METAL INDUSTRIES BHD,5797.KL
151,CHUAN HUAT RESOURCES BHD,7016.KL
152,CIMB GROUP HOLDINGS BERHAD,1023.KL
153,CITAGLOBAL BERHAD,7245.KL
154,CITRA NUSA HOLDINGS BERHAD,5104.KL
155,CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117.KL
156,CLASSIC SCENIC BERHAD,7202.KL
157,CLOUDARON GROUP BERHAD,03001.KL
158,CME GROUP BERHAD,7018.KL
159,CN ASIA CORPORATION BHD,7986.KL
160,CNERGENZ BERHAD,0246.KL
161,COASTAL CONTRACTS BHD,5071.KL
162,COMFORT GLOVES BERHAD,2127.KL
163,COMINTEL CORPORATION BHD,7195.KL
164,COMPLETE LOGISTIC SERVICES BERHAD,5136.KL
165,COMPUGATES HOLDINGS BERHAD,5037.KL
166,COMPUTER FORMS (MALAYSIA) BERHAD,8044.KL
167,CONCRETE ENGINEERING PRODUCTS BERHAD,8435.KL
168,CORAZA INTEGRATED TECHNOLOGY BERHAD,0240.KL
169,COUNTRY HEIGHTS HOLDINGS BHD,5738.KL
170,COUNTRY VIEW BERHAD,5049.KL
171,CRESCENDO CORPORATION BERHAD,6718.KL
172,CREST BUILDER HOLDINGS BERHAD,8591.KL
173,CRG INCORPORATED BERHAD,03016.KL
174,CSC STEEL HOLDINGS BERHAD,5094.KL
175,CSH ALLIANCE BERHAD,7165.KL
176,CTOS DIGITAL BERHAD,5301.KL
177,CUSCAPI BERHAD,0051.KL
178,CWG HOLDINGS BERHAD,9423.KL
179,CYL CORPORATION BERHAD,7157.KL
180,CYPARK RESOURCES BERHAD,5184.KL
181,D & O GREEN TECHNOLOGIES BERHAD,7204.KL
182,DAGANG NEXCHANGE BERHAD,4456.KL
183,DAMANSARA HOLDINGS BERHAD,3484.KL
184,DANCOMECH HOLDINGS BERHAD,5276.KL
185,DATAPREP HOLDINGS BHD,8338.KL
186,DATASONIC GROUP BERHAD,5216.KL
187,DAYANG ENTERPRISE HOLDINGS BERHAD,5141.KL
188,DELEUM BERHAD,5132.KL
189,DESTINI BERHAD,7212.KL
190,DFCITY GROUP BERHAD,5165.KL
191,DGB ASIA BERHAD,0152.KL
192,DIALOG GROUP BERHAD,7277.KL
193,DIGI.COM BERHAD,6947.KL
194,DIGISTAR CORPORATION BERHAD,0029.KL
195,DIVFEX BERHAD,0131.KL
196,DKLS INDUSTRIES BHD,7528.KL
197,DKSH HOLDINGS (MALAYSIA) BERHAD,5908.KL
198,D'NONCE TECHNOLOGY BHD,7114.KL
199,DOLOMITE CORPORATION BERHAD,5835.KL
200,DOLPHIN INTERNATIONAL BERHAD,5265.KL
201,DOMINANT ENTERPRISE BERHAD,7169.KL
202,DPI HOLDINGS BERHAD,0205.KL
203,DPS RESOURCES BERHAD,7198.KL
204,DRB-HICOM BERHAD,1619.KL
205,DUFU TECHNOLOGY CORP. BERHAD,7233.KL
206,DUOPHARMA BIOTECH BERHAD,7148.KL
207,DUTALAND BERHAD,3948.KL
208,DUTCH LADY MILK INDUSTRIES BERHAD,3026.KL
209,DYNACIATE GROUP BERHAD,5178.KL
210,DYNAFRONT HOLDINGS BERHAD,03046.KL
211,E.A.TECHNIQUE (M) BERHAD,5259.KL
212,EA HOLDINGS BERHAD,0154.KL
213,EASTERN & ORIENTAL BERHAD,3417.KL
214,EASTLAND EQUITY BHD,2097.KL
215,ECM LIBRA GROUP BERHAD,2143.KL
216,ECO WORLD DEVELOPMENT GROUP BERHAD,8206.KL
217,ECO WORLD INTERNATIONAL BERHAD,5283.KL
218,ECOBUILT HOLDINGS BERHAD,0059.KL
219,ECOFIRST CONSOLIDATED BHD,3557.KL
220,ECOMATE HOLDINGS BERHAD,0239.KL
221,ECONFRAME BERHAD,0227.KL
222,ECONPILE HOLDINGS BERHAD,5253.KL
223,EDARAN BERHAD,5036.KL
224,EDEN INC. BERHAD,7471.KL
225,EDUSPEC HOLDINGS BERHAD,0107.KL
226,EFFICIENT E-SOLUTIONS BERHAD,0064.KL
227,EG INDUSTRIES BERHAD,8907.KL
228,EITA RESOURCES BERHAD,5208.KL
229,EKOVEST BERHAD,8877.KL
230,EKSONS CORPORATION BERHAD,9016.KL
231,ELK-DESA RESOURCES BERHAD,5228.KL
232,ELSOFT RESEARCH BERHAD,0090.KL
233,EMICO HOLDINGS BERHAD,9091.KL
234,ENCORP BERHAD,6076.KL
235,ENEST GROUP BERHAD,03025.KL
236,ENG KAH CORPORATION BERHAD,7149.KL
237,ENGTEX GROUP BERHAD,5056.KL
238,ENRA GROUP BERHAD,8613.KL
239,EONMETALL GROUP BERHAD,7217.KL
240,EP MANUFACTURING BHD,7773.KL
241,EQUITIESTRACKER HOLDINGS BERHAD,03021.KL
242,ES CERAMICS TECHNOLOGY BHD,0100.KL
243,ESTHETICS INTERNATIONAL GROUP BERHAD,5081.KL
244,EUPE CORPORATION BERHAD,6815.KL
245,EURO HOLDINGS BERHAD,7208.KL
246,EUROSPAN HOLDINGS BERHAD,7094.KL
247,EVERGREEN FIBREBOARD BERHAD,5101.KL
248,EVERSAFE RUBBER BERHAD,0190.KL
249,EVERSENDAI CORPORATION BERHAD,5205.KL
250,EWEIN BERHAD,7249.KL
251,EXCEL FORCE MSC BERHAD,0065.KL
252,FACB INDUSTRIES INCORPORATED BERHAD,2984.KL
253,FAJARBARU BUILDER GROUP BHD,7047.KL
254,FAR EAST HOLDINGS BERHAD,5029.KL
255,FARLIM GROUP (MALAYSIA) BHD,6041.KL
256,FARM FRESH BERHAD,5306.KL
257,FAST ENERGY HOLDINGS BERHAD,0084.KL
258,FAVELLE FAVCO BERHAD,7229.KL
259,FCW HOLDINGS BERHAD,2755.KL
260,FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605.KL
261,FGV HOLDINGS BERHAD,5222.KL
262,FIAMMA HOLDINGS BERHAD,6939.KL
263,FIBON BERHAD,0149.KL
264,FIBROMAT (M) BERHAD,03026.KL
265,FIMA CORPORATION BERHAD,3107.KL
266,FINTEC GLOBAL BERHAD,0150.KL
267,FITTERS DIVERSIFIED BERHAD,9318.KL
268,FLEXIDYNAMIC HOLDINGS BERHAD,0231.KL
269,FM GLOBAL LOGISTICS HOLDINGS BERHAD,7210.KL
270,FOCUS DYNAMICS GROUP BERHAD,0116.KL
271,FOCUS LUMBER BERHAD,5197.KL
272,FOCUS POINT HOLDINGS BERHAD,0157.KL
273,FORMOSA PROSONIC INDUSTRIES BERHAD,9172.KL
274,FOUNDPAC GROUP BERHAD,5277.KL
275,FRASER & NEAVE HOLDINGS BHD,3689.KL
276,FRONTKEN CORPORATION BERHAD,0128.KL
