,div_stock_code,div_year,div_status,dividend_y_%,div_dividend(RM)
169,0059,2022,N,0.0,0.0
170,0060,2018,N,0.0,0.0
171,0060,2019,N,0.0,0.0
172,0060,2020,N,0.0,0.0
173,0060,2021,N,0.0,0.0
174,0060,2022,N,0.0,0.0
175,0064,2018,N,0.0,0.0
176,0064,2019,N,0.0,0.0
177,0064,2020,N,0.0,0.0
178,0064,2021,N,0.0,0.0
179,0064,2022,N,0.0,0.0
180,0065,2018,Y,2.871,0.015
181,0065,2019,Y,1.9209999999999998,0.01
182,0065,2020,Y,2.099,0.01
183,0065,2021,Y,3.823,0.02
184,0066,2018,N,0.0,0.0
185,0066,2019,N,0.0,0.0
186,0066,2020,N,0.0,0.0
187,0066,2021,N,0.0,0.0
188,0066,2022,N,0.0,0.0
189,0068,2018,N,0.0,0.0
190,0068,2019,N,0.0,0.0
191,0068,2020,N,0.0,0.0
192,0068,2021,N,0.0,0.0
193,0068,2022,N,0.0,0.0
194,0069,2018,N,0.0,0.0
195,0069,2019,N,0.0,0.0
196,0069,2020,N,0.0,0.0
197,0069,2021,N,0.0,0.0
198,0069,2022,N,0.0,0.0
199,0070,2018,N,0.0,0.0
200,0070,2019,N,0.0,0.0
201,0070,2020,N,0.0,0.0
202,0070,2021,N,0.0,0.0
203,0070,2022,N,0.0,0.0
204,0072,2018,N,0.0,0.0
205,0072,2019,N,0.0,0.0
206,0072,2020,N,0.0,0.0
207,0072,2021,N,0.0,0.0
208,0072,2022,N,0.0,0.0
209,0074,2018,N,0.0,0.0
210,0074,2019,N,0.0,0.0
211,0074,2020,N,0.0,0.0
212,0074,2021,N,0.0,0.0
213,0074,2022,N,0.0,0.0
214,0075,2018,N,0.0,0.0
215,0075,2019,N,0.0,0.0
216,0075,2020,N,0.0,0.0
217,0075,2021,N,0.0,0.0
218,0075,2022,N,0.0,0.0
219,0078,2018,Y,0.654,0.002
220,0078,2019,Y,0.919,0.0025
221,0078,2020,Y,0.524,0.002
222,0078,2021,Y,0.69,0.002
223,0079,2018,N,0.0,0.0
224,0079,2019,N,0.0,0.0
225,0079,2020,N,0.0,0.0
226,0079,2021,N,0.0,0.0
227,0079,2022,N,0.0,0.0
228,0080,2021,Y,1.667,0.002
229,0081,2018,N,0.0,0.0
230,0081,2019,N,0.0,0.0
231,0081,2020,N,0.0,0.0
232,0081,2021,N,0.0,0.0
233,0081,2022,N,0.0,0.0
234,0082,2018,N,0.0,0.0
235,0082,2019,N,0.0,0.0
236,0082,2020,N,0.0,0.0
237,0082,2021,N,0.0,0.0
238,0082,2022,N,0.0,0.0
239,0083,2018,Y,2.427,0.01
240,0083,2019,Y,1.562,0.01
241,0084,2018,Y,0.53,0.01
242,0084,2019,Y,0.304,0.005
243,0084,2020,Y,0.469,0.01
244,0085,2018,N,0.0,0.0
245,0085,2019,N,0.0,0.0
246,0085,2020,N,0.0,0.0
247,0085,2021,N,0.0,0.0
248,0085,2022,N,0.0,0.0
249,0086,2018,N,0.0,0.0
250,0086,2019,N,0.0,0.0
251,0086,2020,N,0.0,0.0
252,0086,2021,N,0.0,0.0
253,0086,2022,N,0.0,0.0
254,0089,2018,Y,0.896,0.006
255,0089,2019,Y,1.523,0.006
256,0089,2022,Y,1.429,0.006
257,0090,2018,Y,6.938000000000001,0.075
