,EPS,DPS,NTA,Revenue,P/L,Quarter,Q Date,Financial Year,Announced,ROE,Stock Code,Year
0,1.21,0.000,0.1106,988.21m,13.66m,3,2022-09-30,2022-12-31,2022-11-29,10.9%,5250,2022
1,2.29,0.000,0.0984,943.67m,25.77m,2,2022-06-30,2022-12-31,2022-08-25,23.3%,5250,2022
2,2.16,0.000,0.1015,839.98m,24.38m,1,2022-03-31,2022-12-31,2022-05-26,21.3%,5250,2022
3,2.60,0.000,0.0799,795.06m,29.24m,4,2021-12-31,2021-12-31,2022-02-24,32.5%,5250,2021
4,0.13,0.000,0.0522,680.22m,1.44m,3,2021-09-30,2021-12-31,2021-11-25,2.5%,5250,2021
5,0.10,0.000,0.0509,676.67m,1.12m,2,2021-06-30,2021-12-31,2021-08-26,2.0%,5250,2021
6,1.03,0.000,0.0687,657.13m,11.69m,1,2021-03-31,2021-12-31,2021-05-27,15.0%,5250,2021
7,0.39,0.000,0.0591,591.42m,4.44m,4,2020-12-31,2020-12-31,2021-02-26,6.6%,5250,2020
8,1.13,0.000,0.0743,677.12m,12.92m,3,2020-09-30,2020-12-31,2020-11-25,15.2%,5250,2020
9,0.09,0.000,0.0720,649.73m,1.03m,2,2020-06-30,2020-12-31,2020-08-26,1.3%,5250,2020
10,0.99,0.000,0.0985,619.29m,11.37m,1,2020-03-31,2020-12-31,2020-05-28,10.1%,5250,2020
11,0.99,0.000,0.0893,592.73m,11.35m,4,2019-12-31,2019-12-31,2020-02-27,11.1%,5250,2019
12,1.48,0.000,0.0792,594.16m,16.98m,3,2019-09-30,2019-12-31,2019-11-25,18.7%,5250,2019
13,1.28,0.000,0.0648,588.78m,14.59m,2,2019-06-30,2019-12-31,2019-08-27,19.8%,5250,2019
14,0.99,0.000,0.0765,583.73m,11.15m,1,2019-03-31,2019-12-31,2019-05-29,12.9%,5250,2019
15,1.11,0.000,0.0822,554.26m,12.49m,4,2018-12-31,2018-12-31,2019-02-26,13.5%,5250,2018
16,1.48,0.000,0.0739,568.52m,16.76m,3,2018-09-30,2018-12-31,2018-11-30,20.0%,5250,2018
17,1.17,0.000,0.0592,557.63m,13.13m,2,2018-06-30,2018-12-31,2018-08-29,19.8%,5250,2018
18,0.80,0.000,0.0747,535.69m,8.93m,1,2018-03-31,2018-12-31,2018-05-24,10.7%,5250,2018
19,-3.17,0.000,0.0000,-43.30m,-44.53m,-,2022-06-30,2022-12-31,2022-08-24,-%,0800EA,2022
20,-2.73,3.700,0.0000,-35.52m,-36.75m,-,2021-06-30,2021-12-31,2021-08-20,-%,0800EA,2021
21,5.30,3.620,0.0000,69.76m,68.55m,-,2020-06-30,2020-12-31,2020-08-27,-%,0800EA,2020
22,6.05,2.330,0.0000,77.70m,76.52m,-,2019-06-30,2019-12-31,2019-08-28,-%,0800EA,2019
23,2.25,0.000,0.0000,28.45m,27.86m,3,2018-09-30,2018-12-31,2018-11-29,-%,0800EA,2018
24,-0.16,0.000,0.0000,-1.42m,-2.04m,2,2018-06-30,2018-12-31,2018-08-30,-%,0800EA,2018
25,1.30,0.000,0.0000,17.09m,16.46m,1,2018-03-31,2018-12-31,2018-05-30,-%,0800EA,2018
26,2.71,1.000,1.2900,139.14m,8.33m,3,2022-09-30,2022-12-31,2022-11-25,2.1%,7167,2022
27,4.10,1.500,1.2700,152.14m,12.61m,2,2022-06-30,2022-12-31,2022-08-26,3.2%,7167,2022
28,1.34,0.500,1.2300,130.78m,4.12m,1,2022-03-31,2022-12-31,2022-05-31,1.1%,7167,2022
29,3.32,1.500,1.2400,147.68m,10.22m,4,2021-12-31,2021-12-31,2022-02-25,2.7%,7167,2021
30,2.85,1.000,1.2200,117.83m,8.77m,3,2021-09-30,2021-12-31,2021-11-29,2.3%,7167,2021
31,3.71,1.500,1.2100,120.52m,11.41m,2,2021-06-30,2021-12-31,2021-08-25,3.1%,7167,2021
32,3.06,1.000,1.1900,113.83m,9.50m,1,2021-03-31,2021-12-31,2021-05-31,2.6%,7167,2021
33,2.63,1.000,1.1600,137.93m,8.09m,4,2020-12-31,2020-12-31,2021-03-19,2.3%,7167,2020
34,5.08,2.000,1.1600,140.67m,15.71m,3,2020-09-30,2020-12-31,2020-11-24,4.4%,7167,2020
35,3.59,1.700,1.1300,115.11m,11.14m,2,2020-06-30,2020-12-31,2020-08-26,3.2%,7167,2020
36,1.46,0.700,1.1000,108.19m,4.54m,1,2020-03-31,2020-12-31,2020-06-16,1.3%,7167,2020
37,4.13,1.400,1.1000,152.66m,12.81m,4,2019-12-31,2019-12-31,2020-02-25,3.8%,7167,2019
38,4.80,2.000,1.0900,143.43m,14.90m,3,2019-09-30,2019-12-31,2019-11-28,4.4%,7167,2019
39,3.14,1.500,1.0400,141.56m,9.76m,2,2019-06-30,2019-12-31,2019-08-29,3.0%,7167,2019
40,3.58,1.500,1.0300,141.03m,11.11m,1,2019-03-31,2019-12-31,2019-05-29,3.5%,7167,2019
41,4.94,2.000,1.0200,157.15m,15.33m,4,2018-12-31,2018-12-31,2019-02-26,4.8%,7167,2018
42,4.07,1.500,0.9900,124.44m,12.64m,3,2018-09-30,2018-12-31,2018-11-28,4.1%,7167,2018
43,1.12,0.500,0.9500,115.58m,3.46m,2,2018-06-30,2018-12-31,2018-08-30,1.2%,7167,2018
44,2.45,1.000,0.9500,103.96m,7.62m,1,2018-03-31,2018-12-31,2018-05-23,2.6%,7167,2018
45,0.46,0.000,0.0900,624.94m,1.37m,1,2022-06-30,2022-12-31,2022-08-24,5.1%,03028,2022
46,-0.50,0.000,0.0800,629.49m,-1.49m,2,2021-12-31,2021-12-31,2022-02-25,-6.3%,03028,2021
47,0.55,0.990,0.0900,958.02m,1.66m,1,2021-06-30,2021-12-31,2021-09-02,6.1%,03028,2021
48,0.27,0.000,0.0900,937.34m,813.00k,2,2020-12-31,2020-12-31,2021-03-23,3.0%,03028,2020
49,1.89,0.000,0.0900,391.31m,3.22m,1,2020-06-30,2020-12-31,2020-08-25,21.0%,03028,2020
50,0.17,0.000,0.0800,349.53m,443.00k,2,2019-12-31,2019-12-31,2020-02-28,2.1%,03028,2019
51,0.53,0.000,0.0400,618.86m,1.38m,1,2019-06-30,2019-12-31,2019-08-21,13.3%,03028,2019
52,0.40,0.000,0.2600,29.18m,1.38m,3,2022-11-30,2023-02-28,2023-01-18,1.5%,0218,2023
53,0.48,0.000,0.2500,39.29m,1.65m,2,2022-08-31,2023-02-28,2022-10-26,1.9%,0218,2023
54,0.72,0.200,0.2500,36.30m,2.50m,1,2022-05-31,2023-02-28,2022-07-28,2.9%,0218,2023
55,0.28,0.000,0.2400,33.61m,964.00k,4,2022-02-28,2022-02-28,2022-04-27,1.2%,0218,2022
56,0.89,0.000,0.2400,35.71m,3.04m,3,2021-11-30,2022-02-28,2022-01-26,3.7%,0218,2022
57,0.17,0.000,0.2300,18.22m,592.00k,2,2021-08-31,2022-02-28,2021-10-27,0.7%,0218,2022
58,0.74,0.000,0.2300,37.39m,2.47m,1,2021-05-31,2022-02-28,2021-08-25,3.2%,0218,2022
59,0.34,0.000,0.2200,35.13m,1.05m,4,2021-02-28,2021-02-28,2021-04-27,1.5%,0218,2021
60,0.54,0.000,0.2100,36.85m,1.73m,3,2020-11-30,2021-02-28,2021-01-26,2.6%,0218,2021
61,0.37,0.300,0.2000,26.82m,1.08m,2,2020-08-31,2021-02-28,2020-10-22,1.9%,0218,2021
62,-0.35,0.000,0.2000,11.79m,-1.02m,1,2020-05-31,2021-02-28,2020-07-24,-1.8%,0218,2021
63,0.72,0.000,0.1800,30.45m,1.74m,4,2020-02-29,2020-02-29,2020-05-28,4.0%,0218,2020
64,-0.70,0.000,0.4710,64.35m,-6.52m,3,2022-09-30,2022-12-31,2022-11-29,-1.5%,1481,2022
65,-0.62,0.150,0.4760,50.27m,-5.78m,2,2022-06-30,2022-12-31,2022-08-24,-1.3%,1481,2022
66,-0.75,0.000,0.4820,38.96m,-6.94m,1,2022-03-31,2022-12-31,2022-05-25,-1.6%,1481,2022
67,1.34,0.000,0.4880,41.68m,12.42m,4,2021-12-31,2021-12-31,2022-02-28,2.7%,1481,2021
68,-0.73,0.000,0.4590,26.66m,-6.81m,3,2021-09-30,2021-12-31,2021-11-24,-1.6%,1481,2021
69,-0.89,0.150,0.4680,24.24m,-8.29m,2,2021-06-30,2021-12-31,2021-08-25,-1.9%,1481,2021
70,-0.93,0.000,0.4700,23.71m,-8.60m,1,2021-03-31,2021-12-31,2021-05-28,-2.0%,1481,2021
71,-0.19,0.000,0.4830,30.82m,-1.79m,4,2020-12-31,2020-12-31,2021-03-03,-0.4%,1481,2020
72,-1.48,0.000,0.4800,21.59m,-13.74m,3,2020-09-30,2020-12-31,2020-11-25,-3.1%,1481,2020
73,-1.58,0.350,0.4990,22.02m,-14.67m,2,2020-06-30,2020-12-31,2020-08-26,-3.2%,1481,2020
74,-0.44,0.000,0.5100,42.80m,-4.10m,1,2020-03-31,2020-12-31,2020-05-21,-0.9%,1481,2020
75,9.48,0.000,0.5180,85.64m,88.12m,4,2019-12-31,2019-12-31,2020-02-26,18.3%,1481,2019
76,-0.50,0.000,0.4380,56.73m,-4.66m,3,2019-09-30,2019-12-31,2019-11-27,-1.1%,1481,2019
77,-0.41,0.250,0.4540,69.86m,-3.81m,2,2019-06-30,2019-12-31,2019-08-28,-0.9%,1481,2019
78,-0.51,0.000,0.4550,63.28m,-4.70m,1,2019-03-31,2019-12-31,2019-05-29,-1.1%,1481,2019
79,0.80,0.000,0.4540,87.24m,7.47m,4,2018-12-31,2018-12-31,2019-02-27,1.8%,1481,2018
80,-0.45,0.000,0.4470,65.40m,-4.23m,3,2018-09-30,2018-12-31,2018-11-28,-1.0%,1481,2018
81,-0.45,0.250,0.4520,65.13m,-4.14m,2,2018-06-30,2018-12-31,2018-08-28,-1.0%,1481,2018
82,-0.47,0.000,0.4590,65.81m,-3.99m,1,2018-03-31,2018-12-31,2018-05-30,-1.0%,1481,2018
83,0.14,0.000,0.4400,122.41m,661.00k,3,2022-09-30,2022-12-31,2022-11-24,0.3%,5281,2022
84,0.11,0.000,0.4300,99.17m,549.00k,2,2022-06-30,2022-12-31,2022-08-24,0.3%,5281,2022
85,-0.43,0.000,0.4600,104.99m,-2.08m,1,2022-03-31,2022-12-31,2022-05-25,-0.9%,5281,2022
86,0.39,0.000,0.4400,75.99m,1.62m,4,2021-12-31,2021-12-31,2022-02-24,0.9%,5281,2021
87,0.46,0.000,0.4600,69.65m,1.85m,3,2021-09-30,2021-12-31,2021-11-15,1.0%,5281,2021
88,-0.62,0.000,0.4600,60.09m,-2.50m,2,2021-06-30,2021-12-31,2021-09-21,-1.3%,5281,2021
89,0.27,0.000,0.4600,65.08m,1.08m,1,2021-03-31,2021-12-31,2021-05-21,0.6%,5281,2021
90,0.91,0.000,0.4600,73.07m,3.64m,4,2020-12-31,2020-12-31,2021-02-26,2.0%,5281,2020
91,0.79,0.010,0.4600,72.84m,3.13m,3,2020-09-30,2020-12-31,2020-11-26,1.7%,5281,2020
92,-1.71,0.000,0.4600,38.11m,-6.86m,2,2020-06-30,2020-12-31,2020-08-26,-3.7%,5281,2020
93,0.54,0.000,0.4800,66.32m,2.18m,1,2020-03-31,2020-12-31,2020-06-25,1.1%,5281,2020
94,0.65,0.000,0.4800,77.92m,2.61m,4,2019-12-31,2019-12-31,2020-02-27,1.4%,5281,2019
95,0.68,0.000,0.4700,71.14m,2.74m,3,2019-09-30,2019-12-31,2019-11-21,1.4%,5281,2019
96,0.86,0.000,0.4700,80.27m,3.46m,2,2019-06-30,2019-12-31,2019-08-28,1.8%,5281,2019
97,0.50,0.000,0.4600,72.33m,2.03m,1,2019-03-31,2019-12-31,2019-05-28,1.1%,5281,2019
98,0.72,0.000,0.4500,71.59m,2.89m,4,2018-12-31,2018-12-31,2019-02-27,1.6%,5281,2018
99,0.38,1.000,0.4500,65.78m,1.54m,3,2018-09-30,2018-12-31,2018-11-22,0.8%,5281,2018
100,0.91,0.000,0.4500,73.73m,3.66m,2,2018-06-30,2018-12-31,2018-08-29,2.0%,5281,2018
101,0.63,0.000,0.4400,61.76m,2.53m,1,2018-03-31,2018-12-31,2018-05-28,1.4%,5281,2018
102,-3.67,0.000,1.5040,8.38m,-736.00k,3,2022-09-30,2022-12-31,2022-11-24,-2.4%,9148,2022
103,0.15,0.000,1.5210,7.96m,18.00k,2,2022-06-30,2022-12-31,2022-08-26,0.1%,9148,2022
104,-1.37,0.000,1.4900,6.88m,-250.00k,1,2022-03-31,2022-12-31,2022-05-25,-0.9%,9148,2022
105,-4.86,0.000,0.1900,6.74m,-906.00k,4,2021-12-31,2021-12-31,2022-02-24,-25.6%,9148,2021
106,-1.85,0.000,1.5500,5.53m,-353.00k,3,2021-09-30,2021-12-31,2021-11-25,-1.2%,9148,2021
107,0.07,0.000,1.5700,5.87m,13.00k,2,2021-06-30,2021-12-31,2021-09-13,0.0%,9148,2021
108,0.89,0.000,1.5700,6.02m,170.00k,1,2021-03-31,2021-12-31,2021-05-25,0.6%,9148,2021
109,0.68,0.000,1.5600,6.14m,130.00k,4,2020-12-31,2020-12-31,2021-03-23,0.4%,9148,2020
110,1.70,0.000,1.5500,5.63m,325.00k,3,2020-09-30,2020-12-31,2020-11-26,1.1%,9148,2020
111,0.58,0.000,1.5400,5.83m,110.00k,2,2020-06-30,2020-12-31,2020-08-26,0.4%,9148,2020
112,0.27,0.000,1.5300,5.90m,52.00k,1,2020-03-31,2020-12-31,2020-06-25,0.2%,9148,2020
113,-0.35,0.000,1.5300,5.99m,-67.00k,4,2019-12-31,2019-12-31,2020-02-27,-0.2%,9148,2019
114,-0.59,0.000,1.5300,5.14m,-112.00k,3,2019-09-30,2019-12-31,2019-11-28,-0.4%,9148,2019
115,0.54,2.000,1.5400,5.59m,103.00k,2,2019-06-30,2019-12-31,2019-08-28,0.4%,9148,2019
116,-0.35,0.000,1.5500,5.95m,-67.00k,1,2019-03-31,2019-12-31,2019-05-30,-0.2%,9148,2019
117,-0.30,4.000,1.5600,6.44m,-58.00k,4,2018-12-31,2018-12-31,2019-02-28,-0.2%,9148,2018
118,1.13,0.000,1.6000,5.94m,216.00k,3,2018-09-30,2018-12-31,2018-11-28,0.7%,9148,2018
119,1.91,4.000,1.5800,6.18m,366.00k,2,2018-06-30,2018-12-31,2018-08-29,1.2%,9148,2018
120,2.72,0.000,1.6100,6.86m,520.00k,1,2018-03-31,2018-12-31,2018-06-21,1.7%,9148,2018
121,-1.25,0.000,0.4400,10.26m,-1.92m,3,2022-09-30,2022-12-31,2022-11-29,-2.8%,7191,2022
122,0.05,0.000,0.4500,21.90m,82.00k,2,2022-06-30,2022-12-31,2022-08-29,0.1%,7191,2022
123,0.46,0.000,0.4500,18.30m,700.00k,1,2022-03-31,2022-12-31,2022-05-27,1.0%,7191,2022
124,2.41,0.000,0.4500,22.62m,3.68m,4,2021-12-31,2021-12-31,2022-02-23,5.4%,7191,2021
125,1.66,0.000,0.4200,43.42m,2.53m,3,2021-09-30,2021-12-31,2021-11-24,4.0%,7191,2021
126,5.05,0.000,0.4000,20.06m,7.71m,2,2021-06-30,2021-12-31,2021-08-25,12.6%,7191,2021
127,-0.73,0.000,0.3500,12.96m,-1.29m,1,2021-03-31,2021-12-31,2021-05-28,-2.1%,7191,2021
128,-6.08,0.000,0.3600,12.71m,-9.29m,4,2020-12-31,2020-12-31,2021-02-26,-16.9%,7191,2020
129,-3.38,0.000,0.4200,14.47m,-5.23m,3,2020-09-30,2020-12-31,2020-11-25,-8.0%,7191,2020
130,1.11,0.000,0.4600,46.37m,1.69m,2,2020-06-30,2020-12-31,2020-08-26,2.4%,7191,2020
131,0.66,0.000,0.4400,13.67m,1.01m,1,2020-03-31,2020-12-31,2020-05-21,1.5%,7191,2020
132,-4.23,7.000,0.2300,11.64m,-6.46m,4,2019-12-31,2019-12-31,2020-02-27,-18.4%,7191,2019
133,19.77,0.000,0.5400,9.52m,30.21m,3,2019-09-30,2019-12-31,2019-11-26,36.6%,7191,2019
134,-0.25,0.000,0.3500,9.25m,-384.00k,2,2019-06-30,2019-12-31,2019-08-29,-0.7%,7191,2019
135,-0.80,0.000,0.3500,8.49m,-1.23m,1,2019-03-31,2019-12-31,2019-05-30,-2.3%,7191,2019
136,-17.95,0.000,0.3600,7.77m,-27.43m,-,2018-12-31,2018-12-31,2019-02-28,-49.9%,7191,2018
137,-0.37,0.000,0.5400,9.59m,-569.00k,-,2018-10-31,2018-12-31,2018-12-26,-0.7%,7191,2018
138,0.50,0.000,0.5400,13.42m,757.00k,3,2018-07-31,2018-10-31,2018-09-28,0.9%,7191,2018
139,0.46,0.000,0.5400,15.36m,702.00k,2,2018-04-30,2018-10-31,2018-06-20,0.9%,7191,2018
140,0.44,0.000,0.5400,13.89m,674.00k,1,2018-01-31,2018-10-31,2018-03-28,0.8%,7191,2018
141,0.26,0.000,0.2900,18.22m,1.68m,4,2022-09-30,2022-09-30,2022-11-16,0.9%,0181,2022
142,0.26,0.000,0.2900,17.04m,1.70m,3,2022-06-30,2022-09-30,2022-07-27,0.9%,0181,2022
143,0.72,0.000,0.2900,19.21m,4.61m,2,2022-03-31,2022-09-30,2022-04-28,2.5%,0181,2022
144,0.73,0.000,0.3700,18.58m,4.53m,1,2021-12-31,2022-09-30,2022-02-08,2.0%,0181,2022
145,0.68,0.000,0.1900,17.30m,4.07m,4,2021-09-30,2021-09-30,2021-11-08,3.6%,0181,2021
146,0.45,0.000,0.1800,16.36m,2.71m,3,2021-06-30,2021-09-30,2021-07-29,2.5%,0181,2021
147,0.36,0.000,0.1800,15.94m,2.16m,2,2021-03-31,2021-09-30,2021-05-04,2.0%,0181,2021
148,0.28,0.000,0.1900,11.49m,1.51m,1,2020-12-31,2021-09-30,2021-02-08,1.5%,0181,2021
149,0.19,0.000,0.1800,7.22m,1.04m,4,2020-09-30,2020-09-30,2020-11-13,1.1%,0181,2020
150,0.02,0.000,0.1300,5.06m,87.00k,3,2020-06-30,2020-09-30,2020-07-23,0.2%,0181,2020
151,-0.51,0.000,0.1300,2.69m,-2.75m,2,2020-03-31,2020-09-30,2020-05-22,-3.9%,0181,2020
152,-0.37,0.000,0.1300,4.36m,-1.99m,1,2019-12-31,2020-09-30,2020-02-20,-2.8%,0181,2020
153,-0.68,0.000,0.1400,7.55m,-3.72m,4,2019-09-30,2019-09-30,2019-11-21,-4.9%,0181,2019
154,-0.18,0.000,0.1400,5.45m,-994.00k,3,2019-06-30,2019-09-30,2019-08-22,-1.3%,0181,2019
155,0.09,0.000,0.1400,8.10m,481.00k,2,2019-03-31,2019-09-30,2019-05-16,0.6%,0181,2019
156,0.18,0.000,0.1400,7.74m,1.01m,1,2018-12-31,2019-09-30,2019-02-22,1.3%,0181,2019
157,0.06,0.200,0.1400,6.73m,302.00k,4,2018-09-30,2018-09-30,2018-11-23,0.4%,0181,2018
158,0.40,0.000,0.1400,9.54m,2.20m,3,2018-06-30,2018-09-30,2018-08-16,2.9%,0181,2018
159,0.40,0.000,0.1700,11.25m,1.78m,2,2018-03-31,2018-09-30,2018-05-15,2.4%,0181,2018
160,0.23,0.000,0.1700,9.44m,1.02m,1,2017-12-31,2018-09-30,2018-02-08,1.4%,0181,2018
161,0.78,0.000,1.2727,982.01m,10.97m,3,2022-09-30,2022-12-31,2022-11-23,0.6%,6599,2022
162,3.37,0.000,1.2658,1.10b,47.28m,2,2022-06-30,2022-12-31,2022-08-23,2.7%,6599,2022
163,2.00,0.000,1.2662,1.00b,28.07m,1,2022-03-31,2022-12-31,2022-05-18,1.6%,6599,2022
164,5.06,3.000,1.2413,992.10m,70.98m,4,2021-12-31,2021-12-31,2022-02-23,4.1%,6599,2021
165,-1.33,0.000,1.1900,750.56m,-18.67m,3,2021-09-30,2021-12-31,2021-11-24,-1.1%,6599,2021
166,0.78,0.000,1.2100,874.20m,10.94m,2,2021-06-30,2021-12-31,2021-08-27,0.6%,6599,2021
167,1.57,0.000,1.2100,1.01b,22.03m,1,2021-03-31,2021-12-31,2021-05-19,1.3%,6599,2021
168,1.93,1.500,1.1900,916.49m,27.16m,4,2020-12-31,2020-12-31,2021-02-24,1.6%,6599,2020
169,1.17,0.000,1.1700,989.62m,16.36m,3,2020-09-30,2020-12-31,2020-11-25,1.0%,6599,2020
170,-0.68,0.000,1.1900,954.32m,-9.56m,2,2020-06-30,2020-12-31,2020-08-27,-0.6%,6599,2020
171,0.53,0.000,1.1900,1.19b,7.47m,1,2020-03-31,2020-12-31,2020-05-20,0.4%,6599,2020
172,3.55,4.000,1.2100,1.17b,49.88m,4,2019-12-31,2019-12-31,2020-02-24,2.9%,6599,2019
173,0.52,0.000,1.1700,1.06b,7.32m,3,2019-09-30,2019-12-31,2019-11-28,0.4%,6599,2019
174,1.39,0.000,1.2400,1.10b,19.45m,2,2019-06-30,2019-12-31,2019-08-26,1.1%,6599,2019
175,2.32,0.000,1.2200,1.21b,32.64m,1,2019-03-31,2019-12-31,2019-05-30,1.9%,6599,2019
176,3.81,4.000,1.4400,1.11b,53.54m,4,2018-12-31,2018-12-31,2019-02-27,2.6%,6599,2018
177,0.99,0.000,1.4000,1.06b,13.85m,3,2018-09-30,2018-12-31,2018-11-28,0.7%,6599,2018
178,0.70,0.000,1.4300,1.06b,9.79m,2,2018-06-30,2018-12-31,2018-08-29,0.5%,6599,2018
179,1.99,0.000,1.4100,1.11b,27.94m,1,2018-03-31,2018-12-31,2018-05-24,1.4%,6599,2018
180,32.76,0.000,8.8500,417.84m,83.63m,3,2022-11-30,2023-02-28,2022-12-21,3.7%,5139,2023
181,27.66,28.500,8.7400,399.17m,75.65m,2,2022-08-31,2023-02-28,2022-09-29,3.2%,5139,2023
182,63.87,0.000,8.7000,390.57m,163.07m,1,2022-05-31,2023-02-28,2022-07-04,7.3%,5139,2023
183,7.17,20.000,7.8400,362.97m,23.38m,4,2022-02-28,2022-02-28,2022-04-05,0.9%,5139,2022
184,40.53,0.000,7.6300,376.47m,103.46m,3,2021-11-30,2022-02-28,2021-12-23,5.3%,5139,2022
185,27.59,28.500,7.4200,374.48m,75.48m,2,2021-08-31,2022-02-28,2021-09-28,3.7%,5139,2022
186,63.88,0.000,7.3200,410.97m,163.09m,1,2021-05-31,2022-02-28,2021-07-06,8.7%,5139,2022
187,42.56,20.000,6.6300,406.35m,113.72m,4,2021-02-28,2021-02-28,2021-04-08,6.4%,5139,2021
188,16.51,0.000,6.0400,401.47m,42.15m,3,2020-11-30,2021-02-28,2020-12-21,2.7%,5139,2021
189,18.31,9.200,5.9700,363.97m,51.81m,2,2020-08-31,2021-02-28,2020-09-29,3.1%,5139,2021
190,10.29,0.000,6.0100,385.27m,26.28m,1,2020-05-31,2021-02-28,2020-06-25,1.7%,5139,2021
191,31.36,14.000,6.1400,413.28m,88.39m,4,2020-02-29,2020-02-29,2020-04-09,5.1%,5139,2020
192,27.39,0.000,6.0400,402.46m,69.93m,3,2019-11-30,2020-02-29,2019-12-19,4.5%,5139,2020
193,16.03,22.250,6.0700,404.45m,49.13m,2,2019-08-31,2020-02-29,2019-09-26,2.6%,5139,2020
194,32.69,0.000,6.2400,378.59m,84.60m,1,2019-05-31,2020-02-29,2019-06-27,5.2%,5139,2020
195,33.04,22.350,5.9800,359.54m,87.61m,4,2019-02-28,2019-02-28,2019-04-25,5.5%,5139,2019
196,33.35,0.000,5.6600,348.50m,87.14m,3,2018-11-30,2019-02-28,2018-12-20,5.9%,5139,2019
197,31.03,22.250,5.5800,332.09m,80.64m,2,2018-08-31,2019-02-28,2018-10-04,5.6%,5139,2019
198,38.43,0.000,5.4500,325.72m,99.24m,1,2018-05-31,2019-02-28,2018-06-28,7.1%,5139,2019
199,31.87,20.000,6.3700,309.17m,82.31m,4,2018-02-28,2018-02-28,2018-04-27,5.0%,5139,2018
200,28.86,0.000,6.0400,312.35m,70.55m,3,2017-11-30,2018-02-28,2017-12-21,4.8%,5139,2018
201,35.51,21.130,4.8500,311.32m,71.39m,2,2017-08-31,2018-02-28,2017-10-05,7.3%,5139,2018
202,50.15,0.000,7.1300,302.28m,75.81m,1,2017-05-31,2018-02-28,2017-07-04,7.0%,5139,2018
203,40.54,0.000,4.9500,1.62b,872.37m,3,2022-09-30,2022-12-31,2022-11-25,8.2%,5185,2022
204,6.92,0.000,4.7500,579.19m,146.91m,2,2022-06-30,2022-12-31,2022-08-24,1.5%,5185,2022
205,6.72,0.000,4.7100,528.82m,142.69m,1,2022-03-31,2022-12-31,2022-05-27,1.4%,5185,2022
206,9.80,12.500,4.6600,572.13m,206.85m,4,2021-12-31,2021-12-31,2022-02-28,2.1%,5185,2021
207,6.32,0.000,4.5000,552.49m,133.20m,3,2021-09-30,2021-12-31,2021-11-19,1.4%,5185,2021
208,5.62,0.000,4.4700,578.90m,117.95m,2,2021-06-30,2021-12-31,2021-08-26,1.3%,5185,2021
209,3.31,0.000,4.4500,537.63m,68.94m,1,2021-03-31,2021-12-31,2021-05-25,0.7%,5185,2021
210,-0.46,3.500,4.6000,620.80m,-9.36m,4,2020-12-31,2020-12-31,2021-02-26,-0.1%,5185,2020
211,2.38,0.000,4.6100,694.20m,48.72m,3,2020-09-30,2020-12-31,2020-11-27,0.5%,5185,2020
212,3.40,0.000,4.7600,512.96m,67.40m,2,2020-06-30,2020-12-31,2020-08-25,0.7%,5185,2020
213,6.22,0.000,4.6200,630.38m,123.57m,1,2020-03-31,2020-12-31,2020-05-29,1.3%,5185,2020
214,6.15,7.000,4.7000,487.05m,122.11m,4,2019-12-31,2019-12-31,2020-02-27,1.3%,5185,2019
215,3.65,0.000,4.6900,474.26m,72.40m,3,2019-09-30,2019-12-31,2019-11-28,0.8%,5185,2019
216,7.90,0.000,4.6500,497.93m,156.03m,2,2019-06-30,2019-12-31,2019-08-27,1.7%,5185,2019
217,6.90,0.000,4.5800,472.52m,137.23m,1,2019-03-31,2019-12-31,2019-05-30,1.5%,5185,2019
218,7.40,0.000,4.4600,453.56m,143.75m,4,2018-12-31,2018-12-31,2019-02-28,1.7%,5185,2018
219,7.44,5.000,4.4000,496.25m,144.56m,3,2018-09-30,2018-12-31,2018-11-28,1.7%,5185,2018
220,3.80,0.000,4.2800,494.18m,73.31m,2,2018-06-30,2018-12-31,2018-08-28,0.9%,5185,2018
221,7.30,0.000,4.2700,476.62m,141.47m,1,2018-03-31,2018-12-31,2018-05-31,1.7%,5185,2018
222,-4.67,0.000,0.3200,74.80m,-27.92m,1,2022-09-30,2023-06-30,2022-11-29,-14.6%,7078,2023
223,-6.12,0.000,0.3900,98.87m,-36.60m,4,2022-06-30,2022-06-30,2022-08-29,-15.7%,7078,2022
224,-2.73,0.000,0.4500,181.27m,-16.33m,3,2022-03-31,2022-06-30,2022-05-27,-6.1%,7078,2022
225,-1.91,0.000,0.4800,239.64m,-11.44m,2,2021-12-31,2022-06-30,2022-02-25,-4.0%,7078,2022
226,1.04,0.000,0.4900,202.71m,6.22m,1,2021-09-30,2022-06-30,2021-11-30,2.1%,7078,2022
227,-3.45,0.000,0.4900,208.26m,-20.63m,4,2021-06-30,2021-06-30,2021-09-30,-7.0%,7078,2021
228,-4.48,0.000,0.5300,217.37m,-26.77m,3,2021-03-31,2021-06-30,2021-05-28,-8.5%,7078,2021
229,3.92,0.000,0.5700,240.57m,23.44m,2,2020-12-31,2021-06-30,2021-02-25,6.9%,7078,2021
230,-7.50,0.000,0.5400,180.79m,-44.86m,1,2020-09-30,2021-06-30,2020-11-30,-13.9%,7078,2021
231,5.61,0.000,0.6000,166.82m,33.57m,-,2020-06-30,2020-06-30,2020-08-27,9.4%,7078,2020
232,-16.42,0.000,0.5700,259.23m,-98.20m,-,2020-03-31,2020-06-30,2020-06-29,-28.8%,7078,2020
